"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '    ccstr ErrorFile                                 =                 {product}           ')","[76761, 169156, 198598, 229131]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 288K->288K(62848K), 0.0067410 secs]')",[123921]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' intx SafepointSpinBeforeYield             = 2000             {product}')",[44889]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' bool UseG1GC                              = false            {product}')",[54081]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     intx MaxLabelRootDepth                         = 1100            {C2 product}        ')","[88113, 173176, 202618, 233151]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     intx SuspendRetryCount                         = 50              {product}           ')","[105465, 180160, 209602, 240135]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool OptimizeFill                              = false           {C2 product}        ')",[92193]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', 'uintx YoungGenerationSizeSupplementDecay   = 8                {product}')",[60057]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', 'uintx ErgoHeapSizeLimit                    = 0                {product}')",[19977]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     intx G1SATBBufferSize                          = 1024            {product}           ')","[79737, 170500, 199942, 230475]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' intx Tier1BytecodeLimit                   = 10               {product}')",[48537]
