"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.banana.solutions.farming.signup.SignupControllerTest')","[169, 1773116]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'CGLIB$SET_STATIC_CALLBACKS')","[274798, 275758, 276835, 278045, 279255, 280465, 281675, 282885, 283978, 285094, 286210, 287326, 288442, 289558, 290674, 291946, 293218, 294490, 295762, 297034, 298306, 299578, 300850, 303969, 307088, 310207, 313326, 316445, 319564, 322683, 325802, 328921, 332040, 335159, 338278, 341397, 344516, 347635, 350754, 353873, 356992, 360111, 363230, 366349, 369468, 372587, 375706, 378825, 381944, 385063, 388182, 391301, 394420, 397539, 400658, 403777, 407908, 408868, 409945, 411155, 412365, 413575, 414785, 415995, 417088, 418204, 419320, 420436, 421552, 422668, 423784, 425056, 426328, 427600, 428872, 430144, 431416, 432688, 433960, 437079, 440198, 443317, 446436, 449555, 452674, 455793, 458912, 462031, 465150, 468269, 471388, 474507, 477626, 480745, 483864, 486983, 490102, 493221, 496340, 499459, 502578, 505697, 508816, 511935, 515054, 518173, 521292, 524411, 527530, 530649, 533768, 536887, 540075, 541587, 543285, 545185, 547085, 548985, 550885, 552785, 554499, 556259, 558019, 559779, 561539, 563299, 565059, 567067, 569075, 571083, 573091, 575099, 577107, 579115, 581123, 586036, 590949, 595862, 600775, 605688, 610601, 615514, 620427, 625340, 630253, 635166, 640079, 644992, 649905, 654818, 659731, 664644, 669557, 674470, 679383, 684296, 689209, 694122, 699035, 703948, 708861, 713774, 718687, 723600, 728513, 733426, 738339, 743318, 745358, 747650, 750210, 752770, 755330, 757890, 760198, 762574, 764950, 767326, 769702, 772078, 774454, 776830, 779542, 782254, 784966, 787678, 790390, 793102, 795814, 798526, 805155, 811784, 818413, 825042, 831671, 838300, 844929, 851558, 858187, 864816, 871445, 878074, 884703, 891332, 897961, 904590, 911219, 917848, 924477, 931106, 937735, 944364, 950993, 957622, 964251, 970880, 977509, 984138, 990767, 997396, 1004025, 1010666, 1013202, 1016123, 1018523, 1021220, 1024230, 1027240, 1030250, 1032963, 1035759, 1038555, 1041351, 1044147, 1047339, 1050531, 1053723, 1056915, 1060107, 1063299, 1066491, 1069683, 1077482, 1085281, 1093080, 1100879, 1108678, 1116477, 1124276, 1132075, 1139874, 1147673, 1155472, 1163271, 1171070, 1178869, 1186668, 1194467, 1202266, 1210065, 1217864, 1225663, 1233462, 1241261, 1249060, 1256859, 1264658, 1272457, 1280256, 1288055, 1295854, 1303653, 1311452, 1319299, 1322561, 1326021, 1405052, 1407708, 1410652, 1413308, 1415865, 1416825, 1417785, 1419057, 1420329, 1421601, 1422873, 1424145, 1425417, 1426689, 1427961, 1431080, 1434199, 1437318, 1440437, 1443556, 1446675, 1449794, 1452913, 1456032, 1459151, 1462270, 1465389, 1468508, 1471627, 1474746, 1477865, 1480984, 1484103, 1487222, 1490341, 1493460, 1496579, 1499698, 1502817, 1505936, 1509055, 1512174, 1515293, 1518412, 1521531, 1524650, 1527766, 1528705, 1529662, 1530598, 1531841, 1533110, 1534350, 1535593, 1536862, 1538102, 1539345, 1540614, 1541854, 1543097, 1544366, 1545606, 1548650, 1551766, 1554807, 1557851, 1560967, 1564008, 1567052, 1570168, 1573209, 1576253, 1579369, 1582410, 1585454, 1588570, 1591611, 1594655, 1597771, 1600812, 1603856, 1606972, 1610013, 1613057, 1616173, 1619214, 1622258, 1625374, 1628415, 1631459, 1634575, 1637616, 1640660, 1643776, 1646817, 1649861, 1652977, 1656018, 1659062, 1662178, 1665219, 1668263, 1671379, 1674420, 1677464, 1680580, 1683621, 1686665, 1689781, 1692873, 1694217, 1696001, 1697785, 1699569, 1701353, 1705720, 1710087, 1714454, 1718821, 1723188, 1727555, 1731922, 1736289, 1740656, 1745023, 1749390, 1753757, 1758124, 1762491, 1766858]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'configureAsyncSupport')","[120731, 122775, 124819, 126863, 128907, 130951, 132995, 135039, 137083, 139127, 141171, 143215, 145259, 147303, 149347, 151391, 153435, 155479, 157523, 159567, 161611, 163655, 165699, 167743, 169787, 171831, 173875, 175919, 177963, 180007, 182051, 184095, 186139, 188183, 205419, 207463, 209507, 211551, 213595, 215639, 217683, 219727, 221771, 223815, 225859, 227903, 229947, 231991, 234035, 236079, 238123, 240167, 242211, 244255, 246299, 248343, 250387, 252431, 254475, 256519, 258563, 260607, 262651, 264695, 266739, 268783, 270827, 272871, 303225, 306344, 309463, 312582, 315701, 318820, 321939, 325058, 328177, 331296, 334415, 337534, 340653, 343772, 346891, 350010, 353129, 356248, 359367, 362486, 365605, 368724, 371843, 374962, 378081, 381200, 384319, 387438, 390557, 393676, 396795, 399914, 403033, 406152, 436335, 439454, 442573, 445692, 448811, 451930, 455049, 458168, 461287, 464406, 467525, 470644, 473763, 476882, 480001, 483120, 486239, 489358, 492477, 495596, 498715, 501834, 504953, 508072, 511191, 514310, 517429, 520548, 523667, 526786, 529905, 533024, 536143, 539262, 584878, 589791, 594704, 599617, 604530, 609443, 614356, 619269, 624182, 629095, 634008, 638921, 643834, 648747, 653660, 658573, 663486, 668399, 673312, 678225, 683138, 688051, 692964, 697877, 702790, 707703, 712616, 717529, 722442, 727355, 732268, 737181, 742094, 803601, 810230, 816859, 823488, 830117, 836746, 843375, 850004, 856633, 863262, 869891, 876520, 883149, 889778, 896407, 903036, 909665, 916294, 922923, 929552, 936181, 942810, 949439, 956068, 962697, 969326, 975955, 982584, 989213, 995842, 1002471, 1009100, 1075658, 1083457, 1091256, 1099055, 1106854, 1114653, 1122452, 1130251, 1138050, 1145849, 1153648, 1161447, 1169246, 1177045, 1184844, 1192643, 1200442, 1208241, 1216040, 1223839, 1231638, 1239437, 1247236, 1255035, 1262834, 1270633, 1278432, 1286231, 1294030, 1301829, 1309628, 1317427, 1430336, 1433455, 1436574, 1439693, 1442812, 1445931, 1449050, 1452169, 1455288, 1458407, 1461526, 1464645, 1467764, 1470883, 1474002, 1477121, 1480240, 1483359, 1486478, 1489597, 1492716, 1495835, 1498954, 1502073, 1505192, 1508311, 1511430, 1514549, 1517668, 1520787, 1523906, 1527025, 1547921, 1551025, 1554081, 1557122, 1560226, 1563282, 1566323, 1569427, 1572483, 1575524, 1578628, 1581684, 1584725, 1587829, 1590885, 1593926, 1597030, 1600086, 1603127, 1606231, 1609287, 1612328, 1615432, 1618488, 1621529, 1624633, 1627689, 1630730, 1633834, 1636890, 1639931, 1643035, 1646091, 1649132, 1652236, 1655292, 1658333, 1661437, 1664493, 1667534, 1670638, 1673694, 1676735, 1679839, 1682895, 1685936, 1689040, 1692096, 1704688, 1709055, 1713422, 1717789, 1722156, 1726523, 1730890, 1735257, 1739624, 1743991, 1748358, 1752725, 1757092, 1761459, 1765826, 1770193]"
"('LinkExpression.java', 'org.thymeleaf.standard.expression.LinkExpression', 'parseLink', '^\\s*\\@\\{(.+?)\\}\\s*$', '@{/resources/css/bootstrap.min.css}')",[1771914]
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'CGLIB$STATICHOOK8')","[291103, 292375, 293647, 294919, 296191, 297463, 298735, 300007, 424213, 425485, 426757, 428029, 429301, 430573, 431845, 433117, 565741, 567749, 569757, 571765, 573773, 575781, 577789, 579797, 777754, 780466, 783178, 785890, 788602, 791314, 794026, 796738, 1045236, 1048428, 1051620, 1054812, 1058004, 1061196, 1064388, 1067580, 1418214, 1419486, 1420758, 1422030, 1423302, 1424574, 1425846, 1427118, 1531016, 1532270, 1533528, 1534768, 1536022, 1537280, 1538520, 1539774, 1541032, 1542272, 1543526, 1544784, 1694822, 1696606, 1698390, 1700174]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'CGLIB$simpleControllerHandlerAdapter$32')","[301279, 304398, 307517, 310636, 313755, 316874, 319993, 323112, 326231, 329350, 332469, 335588, 338707, 341826, 344945, 348064, 351183, 354302, 357421, 360540, 363659, 366778, 369897, 373016, 376135, 379254, 382373, 385492, 388611, 391730, 394849, 397968, 401087, 404206, 434389, 437508, 440627, 443746, 446865, 449984, 453103, 456222, 459341, 462460, 465579, 468698, 471817, 474936, 478055, 481174, 484293, 487412, 490531, 493650, 496769, 499888, 503007, 506126, 509245, 512364, 515483, 518602, 521721, 524840, 527959, 531078, 534197, 537316, 581805, 586718, 591631, 596544, 601457, 606370, 611283, 616196, 621109, 626022, 630935, 635848, 640761, 645674, 650587, 655500, 660413, 665326, 670239, 675152, 680065, 684978, 689891, 694804, 699717, 704630, 709543, 714456, 719369, 724282, 729195, 734108, 739021, 799450, 806079, 812708, 819337, 825966, 832595, 839224, 845853, 852482, 859111, 865740, 872369, 878998, 885627, 892256, 898885, 905514, 912143, 918772, 925401, 932030, 938659, 945288, 951917, 958546, 965175, 971804, 978433, 985062, 991691, 998320, 1004949, 1070772, 1078571, 1086370, 1094169, 1101968, 1109767, 1117566, 1125365, 1133164, 1140963, 1148762, 1156561, 1164360, 1172159, 1179958, 1187757, 1195556, 1203355, 1211154, 1218953, 1226752, 1234551, 1242350, 1250149, 1257948, 1265747, 1273546, 1281345, 1289144, 1296943, 1304742, 1312541, 1428390, 1431509, 1434628, 1437747, 1440866, 1443985, 1447104, 1450223, 1453342, 1456461, 1459580, 1462699, 1465818, 1468937, 1472056, 1475175, 1478294, 1481413, 1484532, 1487651, 1490770, 1493889, 1497008, 1500127, 1503246, 1506365, 1509484, 1512603, 1515722, 1518841, 1521960, 1525079, 1546024, 1549079, 1552184, 1555225, 1558280, 1561385, 1564426, 1567481, 1570586, 1573627, 1576682, 1579787, 1582828, 1585883, 1588988, 1592029, 1595084, 1598189, 1601230, 1604285, 1607390, 1610431, 1613486, 1616591, 1619632, 1622687, 1625792, 1628833, 1631888, 1634993, 1638034, 1641089, 1644194, 1647235, 1650290, 1653395, 1656436, 1659491, 1662596, 1665637, 1668692, 1671797, 1674838, 1677893, 1680998, 1684039, 1687094, 1690199, 1701958, 1706325, 1710692, 1715059, 1719426, 1723793, 1728160, 1732527, 1736894, 1741261, 1745628, 1749995, 1754362, 1758729, 1763096, 1767463]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'addResourceHandlers')","[119732, 121776, 123820, 125864, 127908, 129952, 131996, 134040, 136084, 138128, 140172, 142216, 144260, 146304, 148348, 150392, 152436, 154480, 156524, 158568, 160612, 162656, 164700, 166744, 168788, 170832, 172876, 174920, 176964, 179008, 181052, 183096, 185140, 187184, 204420, 206464, 208508, 210552, 212596, 214640, 216684, 218728, 220772, 222816, 224860, 226904, 228948, 230992, 233036, 235080, 237124, 239168, 241212, 243256, 245300, 247344, 249388, 251432, 253476, 255520, 257564, 259608, 261652, 263696, 265740, 267784, 269828, 271872, 302529, 305648, 308767, 311886, 315005, 318124, 321243, 324362, 327481, 330600, 333719, 336838, 339957, 343076, 346195, 349314, 352433, 355552, 358671, 361790, 364909, 368028, 371147, 374266, 377385, 380504, 383623, 386742, 389861, 392980, 396099, 399218, 402337, 405456, 435639, 438758, 441877, 444996, 448115, 451234, 454353, 457472, 460591, 463710, 466829, 469948, 473067, 476186, 479305, 482424, 485543, 488662, 491781, 494900, 498019, 501138, 504257, 507376, 510495, 513614, 516733, 519852, 522971, 526090, 529209, 532328, 535447, 538566, 583791, 588704, 593617, 598530, 603443, 608356, 613269, 618182, 623095, 628008, 632921, 637834, 642747, 647660, 652573, 657486, 662399, 667312, 672225, 677138, 682051, 686964, 691877, 696790, 701703, 706616, 711529, 716442, 721355, 726268, 731181, 736094, 741007, 802140, 808769, 815398, 822027, 828656, 835285, 841914, 848543, 855172, 861801, 868430, 875059, 881688, 888317, 894946, 901575, 908204, 914833, 921462, 928091, 934720, 941349, 947978, 954607, 961236, 967865, 974494, 981123, 987752, 994381, 1001010, 1007639, 1073942, 1081741, 1089540, 1097339, 1105138, 1112937, 1120736, 1128535, 1136334, 1144133, 1151932, 1159731, 1167530, 1175329, 1183128, 1190927, 1198726, 1206525, 1214324, 1222123, 1229922, 1237721, 1245520, 1253319, 1261118, 1268917, 1276716, 1284515, 1292314, 1300113, 1307912, 1315711, 1429640, 1432759, 1435878, 1438997, 1442116, 1445235, 1448354, 1451473, 1454592, 1457711, 1460830, 1463949, 1467068, 1470187, 1473306, 1476425, 1479544, 1482663, 1485782, 1488901, 1492020, 1495139, 1498258, 1501377, 1504496, 1507615, 1510734, 1513853, 1516972, 1520091, 1523210, 1526329, 1547242, 1550329, 1553402, 1556443, 1559530, 1562603, 1565644, 1568731, 1571804, 1574845, 1577932, 1581005, 1584046, 1587133, 1590206, 1593247, 1596334, 1599407, 1602448, 1605535, 1608608, 1611649, 1614736, 1617809, 1620850, 1623937, 1627010, 1630051, 1633138, 1636211, 1639252, 1642339, 1645412, 1648453, 1651540, 1654613, 1657654, 1660741, 1663814, 1666855, 1669942, 1673015, 1676056, 1679143, 1682216, 1685257, 1688344, 1691417, 1703720, 1708087, 1712454, 1716821, 1721188, 1725555, 1729922, 1734289, 1738656, 1743023, 1747390, 1751757, 1756124, 1760491, 1764858, 1769225]"
"('SecurityNamespaceHandler.java', 'org.springframework.security.config.SecurityNamespaceHandler', 'matchesVersionInternal', '(?m).*spring-security-3\\.2.*.xsd.*', '')","[103067, 103118, 103479, 103530, 103893, 103946]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'CGLIB$csrfMatcher$0')","[290791, 292063, 293335, 294607, 295879, 297151, 298423, 299695, 423901, 425173, 426445, 427717, 428989, 430261, 431533, 432805, 565245, 567253, 569261, 571269, 573277, 575285, 577293, 579301, 777082, 779794, 782506, 785218, 787930, 790642, 793354, 796066, 1044444, 1047636, 1050828, 1054020, 1057212, 1060404, 1063596, 1066788, 1417902, 1419174, 1420446, 1421718, 1422990, 1424262, 1425534, 1426806, 1530712, 1531958, 1533224, 1534464, 1535710, 1536976, 1538216, 1539462, 1540728, 1541968, 1543214, 1544480, 1694382, 1696166, 1697950, 1699734]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.banana.solutions.farming.account.UserServiceTest')","[226, 1773094]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'addViewControllers')","[120131, 122175, 124219, 126263, 128307, 130351, 132395, 134439, 136483, 138527, 140571, 142615, 144659, 146703, 148747, 150791, 152835, 154879, 156923, 158967, 161011, 163055, 165099, 167143, 169187, 171231, 173275, 175319, 177363, 179407, 181451, 183495, 185539, 187583, 204819, 206863, 208907, 210951, 212995, 215039, 217083, 219127, 221171, 223215, 225259, 227303, 229347, 231391, 233435, 235479, 237523, 239567, 241611, 243655, 245699, 247743, 249787, 251831, 253875, 255919, 257963, 260007, 262051, 264095, 266139, 268183, 270227, 272271, 302856, 305975, 309094, 312213, 315332, 318451, 321570, 324689, 327808, 330927, 334046, 337165, 340284, 343403, 346522, 349641, 352760, 355879, 358998, 362117, 365236, 368355, 371474, 374593, 377712, 380831, 383950, 387069, 390188, 393307, 396426, 399545, 402664, 405783, 435966, 439085, 442204, 445323, 448442, 451561, 454680, 457799, 460918, 464037, 467156, 470275, 473394, 476513, 479632, 482751, 485870, 488989, 492108, 495227, 498346, 501465, 504584, 507703, 510822, 513941, 517060, 520179, 523298, 526417, 529536, 532655, 535774, 538893, 584302, 589215, 594128, 599041, 603954, 608867, 613780, 618693, 623606, 628519, 633432, 638345, 643258, 648171, 653084, 657997, 662910, 667823, 672736, 677649, 682562, 687475, 692388, 697301, 702214, 707127, 712040, 716953, 721866, 726779, 731692, 736605, 741518, 802827, 809456, 816085, 822714, 829343, 835972, 842601, 849230, 855859, 862488, 869117, 875746, 882375, 889004, 895633, 902262, 908891, 915520, 922149, 928778, 935407, 942036, 948665, 955294, 961923, 968552, 975181, 981810, 988439, 995068, 1001697, 1008326, 1074749, 1082548, 1090347, 1098146, 1105945, 1113744, 1121543, 1129342, 1137141, 1144940, 1152739, 1160538, 1168337, 1176136, 1183935, 1191734, 1199533, 1207332, 1215131, 1222930, 1230729, 1238528, 1246327, 1254126, 1261925, 1269724, 1277523, 1285322, 1293121, 1300920, 1308719, 1316518, 1429967, 1433086, 1436205, 1439324, 1442443, 1445562, 1448681, 1451800, 1454919, 1458038, 1461157, 1464276, 1467395, 1470514, 1473633, 1476752, 1479871, 1482990, 1486109, 1489228, 1492347, 1495466, 1498585, 1501704, 1504823, 1507942, 1511061, 1514180, 1517299, 1520418, 1523537, 1526656, 1547561, 1550656, 1553721, 1556762, 1559857, 1562922, 1565963, 1569058, 1572123, 1575164, 1578259, 1581324, 1584365, 1587460, 1590525, 1593566, 1596661, 1599726, 1602767, 1605862, 1608927, 1611968, 1615063, 1618128, 1621169, 1624264, 1627329, 1630370, 1633465, 1636530, 1639571, 1642666, 1645731, 1648772, 1651867, 1654932, 1657973, 1661068, 1664133, 1667174, 1670269, 1673334, 1676375, 1679470, 1682535, 1685576, 1688671, 1691736, 1704175, 1708542, 1712909, 1717276, 1721643, 1726010, 1730377, 1734744, 1739111, 1743478, 1747845, 1752212, 1756579, 1760946, 1765313, 1769680]"
