"('LogHandler.java', 'gov.nasa.jpf.util.LogHandler', '<init>', '[a-zA-Z0-9.]*:[0-9]*', 'out')","[459, 493]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', 'de.fzi.cjunit.jpf.inside.TestWrapper')","[239, 265, 785, 811, 1262, 1288]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', '--testclass=org.unicamp.mc626.example.SimpleDateFormatTest')","[1315, 1341]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', '--test=method=test,exception=')","[345, 371, 398, 424]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', '--testclass=org.unicamp.mc626.example.ConcurrentCounterTest')","[292, 318, 838, 864]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', '--test=method=test2,exception=')","[891, 917, 944, 970]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', '--test=method=test2,exception=')","[679, 705, 732, 758]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '[+]jpf[.]basedir(=.+)?', '--test=method=testWithCJUnit,exception=')","[1368, 1394, 1421, 1447]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', '--testclass=org.unicamp.mc626.example.SimpleDateFormatTest')","[1103, 1129]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', '--test=method=test,exception=')","[133, 159, 186, 212]"
"('JVM.java', 'gov.nasa.jpf.jvm.JVM', 'checkClassName', '[a-zA-Z_$][a-zA-Z_$0-9.]*', 'de.fzi.cjunit.jpf.inside.TestWrapper')","[520, 546, 997, 1023, 1474, 1500]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', 'de.fzi.cjunit.jpf.inside.TestWrapper')","[27, 53, 573, 599, 1050, 1076]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', '--test=method=testWithCJUnit,exception=')","[1156, 1182, 1209, 1235]"
"('JPF.java', 'gov.nasa.jpf.JPF', 'getArg', '-c(onfig)?(=.+)?', '--testclass=org.unicamp.mc626.example.ConcurrentCounterTest')","[80, 106, 626, 652]"
