"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'null')","[17, 1338]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testDeleteGroup(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[748, 1124, 1985, 2404]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'org.karpukhin.swingmvcdemo.core.model.EntityTest')","[36, 1357]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testSymmetry(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[309, 999, 1546, 2299]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testReflexivity(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[225, 978, 1630, 2320]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testTransitivity(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[57, 916, 1462, 2278]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest')","[1260, 1280, 1301, 1321, 2581, 2601, 2622, 2642]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testCreateGroup(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[664, 1083, 2153, 2466]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testDeleteGroup(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[769, 790, 811, 2006, 2027, 2048, 2424]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.karpukhin.swingmvcdemo.core.model.EntityTest')","[1169, 1192, 1216, 1239, 2490, 2513, 2537, 2560]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testReflexivity(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[246, 267, 288, 1651, 1672, 1693]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest')","[643, 1964]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testHashCode(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[582, 603, 624, 1903, 1924, 1945]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testTransitivity(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[78, 99, 120, 936, 1483, 1504, 1525]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testEqualsWhenDifferentClasses(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[498, 519, 540, 1735, 1756, 1777]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testHashCode(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[561, 1062, 1882, 2383]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testEqualsWhenOtherIsNull(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[141, 957, 1378, 2237]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testEqualsWhenDifferentId(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[414, 435, 456, 1819, 1840, 1861]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testGetAllGroups(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[832, 1145, 2069, 2445]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testEqualsWhenDifferentClasses(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[477, 1041, 1714, 2341]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testEqualsWhenDifferentId(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[393, 1020, 1798, 2362]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testSymmetry(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[330, 351, 372, 1567, 1588, 1609]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testEqualsWhenOtherIsNull(org.karpukhin.swingmvcdemo.core.model.EntityTest)')","[162, 183, 204, 1399, 1420, 1441, 2257]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testGetAllGroups(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[853, 874, 895, 2090, 2111, 2132]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testCreateGroup(org.karpukhin.swingmvcdemo.core.dao.hibernate.GroupDaoHibernateImplTest)')","[685, 706, 727, 1103, 2174, 2195, 2216]"
