"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[13](com.qulice.checkstyle.ChecksTest)')","[974, 2460]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    public static void methodWithoutInnerClasses() {')","[6420, 6457]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[2]')",[191]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '        throw new IllegalStateException(""This method is not to be called,"" +')",[4616]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[1](com.qulice.checkstyle.ChecksTest)')","[170, 1908]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '        throw new UnsupportedOperationException();')",[4406]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    private static final String CONST_VALUE = ""foo"";')","[22641, 22677, 22714, 22750, 22786, 22968]"
"('JavadocTagsCheck.java', 'com.qulice.checkstyle.JavadocTagsCheck', 'matchTagFormat', '^([A-Z](\\.|[a-z]+) )+\\([A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\\.[A-Za-z]{2,4}\\)$', 'First Author (first@author.com)')",[3388]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '            "" one line."");')",[4686]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[3](com.qulice.checkstyle.ChecksTest)')","[304, 2000]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '         */')","[10518, 10554, 10590, 10627, 11787, 11823, 11859, 11895]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTruePositive[11](com.qulice.checkstyle.ChecksTest)')","[817, 2345]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[8](com.qulice.checkstyle.ChecksTest)')","[639, 2230]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'com.qulice.checkstyle.CheckstyleValidatorTest')","[1144, 27017]"
"('SuppressWarningsCheck.java', 'com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck', 'logMatch', '^$|^\\s+$', 'PMD.TooManyMethods')",[15244]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'testCheckstyleTrueNegative[9](com.qulice.checkstyle.ChecksTest)')","[706, 2276]"
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '        }')","[4266, 18289, 19281]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[9]')",[660]
"('FileContents.java', 'com.puppycrawl.tools.checkstyle.api.FileContents', 'lineIsComment', '^\\s*//.*$', '    public static void innerClassUsage() {')","[10301, 10337, 11569, 11605]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', '[13]')",[928]
