"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_7_Lucene50_0.doc')",[950225]
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', 'theme/theme1.xml')","[407241, 543446, 693442]"
"('Settings.java', 'org.elasticsearch.common.settings.Settings$Builder', 'removeNonArraysFieldsIfNewSettingsContainsFieldAsArray', '(.*)\\.\\d+$', 'size')","[2904, 3032, 3160, 3288, 3416, 3544, 3672, 3768, 3896, 4024, 4152, 4280, 4376, 4504, 4632, 6730, 6858, 6986, 7114, 7242, 7370, 7498, 7594, 7722, 7850, 7978, 8106, 8202, 8330, 8458, 10556, 10684, 10812, 10940, 11068, 11196, 11324, 11420, 11548, 11676, 11804, 11932, 12028, 12156, 12284, 266274, 266402, 266530, 266658, 266786, 266914, 267042, 267138, 267266, 267394, 267522, 267650, 267746, 267874, 268002, 270100, 270228, 270356, 270484, 270612, 270740, 270868, 270964, 271092, 271220, 271348, 271476, 271572, 271700, 271828, 273926, 274054, 274182, 274310, 274438, 274566, 274694, 274790, 274918, 275046, 275174, 275302, 275398, 275526, 275654, 552776, 552904, 553032, 553160, 553288, 553416, 553544, 553640, 553768, 553896, 554024, 554152, 554248, 554376, 554504, 556602, 556730, 556858, 556986, 557114, 557242, 557370, 557466, 557594, 557722, 557850, 557978, 558074, 558202, 558330, 560428, 560556, 560684, 560812, 560940, 561068, 561196, 561292, 561420, 561548, 561676, 561804, 561900, 562028, 562156, 702799, 702927, 703055, 703183, 703311, 703439, 703567, 703663, 703791, 703919, 704047, 704175, 704271, 704399, 704527, 706625, 706753, 706881, 707009, 707137, 707265, 707393, 707489, 707617, 707745, 707873, 708001, 708097, 708225, 708353, 710451, 710579, 710707, 710835, 710963, 711091, 711219, 711315, 711443, 711571, 711699, 711827, 711923, 712051, 712179, 722145, 722273, 722401, 722529, 722657, 722785, 722913, 723009, 723137, 723265, 723393, 723521, 723617, 723745, 723873, 725971, 726099, 726227, 726355, 726483, 726611, 726739, 726835, 726963, 727091, 727219, 727347, 727443, 727571, 727699, 729797, 729925, 730053, 730181, 730309, 730437, 730565, 730661, 730789, 730917, 731045, 731173, 731269, 731397, 731525, 744636, 744764, 744892, 745020, 745148, 745276, 745404, 745500, 745628, 745756, 745884, 746012, 746108, 746236, 746364, 748462, 748590, 748718, 748846, 748974, 749102, 749230, 749326, 749454, 749582, 749710, 749838, 749934, 750062, 750190, 752288, 752416, 752544, 752672, 752800, 752928, 753056, 753152, 753280, 753408, 753536, 753664, 753760, 753888, 754016, 767006, 767134, 767262, 767390, 767518, 767646, 767774, 767870, 767998, 768126, 768254, 768382, 768478, 768606, 768734, 770832, 770960, 771088, 771216, 771344, 771472, 771600, 771696, 771824, 771952, 772080, 772208, 772304, 772432, 772560, 774658, 774786, 774914, 775042, 775170, 775298, 775426, 775522, 775650, 775778, 775906, 776034, 776130, 776258, 776386, 800385, 800513, 800641, 800769, 800897, 801025, 801153, 801249, 801377, 801505, 801633, 801761, 801857, 801985, 802113, 804211, 804339, 804467, 804595, 804723, 804851, 804979, 805075, 805203, 805331, 805459, 805587, 805683, 805811, 805939, 808037, 808165, 808293, 808421, 808549, 808677, 808805, 808901, 809029, 809157, 809285, 809413, 809509, 809637, 809765, 822019, 822147, 822275, 822403, 822531, 822659, 822787, 822883, 823011, 823139, 823267, 823395, 823491, 823619, 823747, 825845, 825973, 826101, 826229, 826357, 826485, 826613, 826709, 826837, 826965, 827093, 827221, 827317, 827445, 827573, 829671, 829799, 829927, 830055, 830183, 830311, 830439, 830535, 830663, 830791, 830919, 831047, 831143, 831271, 831399, 846817, 846945, 847073, 847201, 847329, 847457, 847585, 847681, 847809, 847937, 848065, 848193, 848289, 848417, 848545, 850643, 850771, 850899, 851027, 851155, 851283, 851411, 851507, 851635, 851763, 851891, 852019, 852115, 852243, 852371, 854469, 854597, 854725, 854853, 854981, 855109, 855237, 855333, 855461, 855589, 855717, 855845, 855941, 856069, 856197, 865808, 865936, 866064, 866192, 866320, 866448, 866576, 866672, 866800, 866928, 867056, 867184, 867280, 867408, 867536, 869634, 869762, 869890, 870018, 870146, 870274, 870402, 870498, 870626, 870754, 870882, 871010, 871106, 871234, 871362, 873460, 873588, 873716, 873844, 873972, 874100, 874228, 874324, 874452, 874580, 874708, 874836, 874932, 875060, 875188, 885957, 886085, 886213, 886341, 886469, 886597, 886725, 886821, 886949, 887077, 887205, 887333, 887429, 887557, 887685, 889783, 889911, 890039, 890167, 890295, 890423, 890551, 890647, 890775, 890903, 891031, 891159, 891255, 891383, 891511, 893609, 893737, 893865, 893993, 894121, 894249, 894377, 894473, 894601, 894729, 894857, 894985, 895081, 895209, 895337, 908282, 908410, 908538, 908666, 908794, 908922, 909050, 909146, 909274, 909402, 909530, 909658, 909754, 909882, 910010, 912108, 912236, 912364, 912492, 912620, 912748, 912876, 912972, 913100, 913228, 913356, 913484, 913580, 913708, 913836, 915934, 916062, 916190, 916318, 916446, 916574, 916702, 916798, 916926, 917054, 917182, 917310, 917406, 917534, 917662, 930988, 931116, 931244, 931372, 931500, 931628, 931756, 931852, 931980, 932108, 932236, 932364, 932460, 932588, 932716, 934814, 934942, 935070, 935198, 935326, 935454, 935582, 935678, 935806, 935934, 936062, 936190, 936286, 936414, 936542, 938640, 938768, 938896, 939024, 939152, 939280, 939408, 939504, 939632, 939760, 939888, 940016, 940112, 940240, 940368, 953545, 953673, 953801, 953929, 954057, 954185, 954313, 954409, 954537, 954665, 954793, 954921, 955017, 955145, 955273, 957371, 957499, 957627, 957755, 957883, 958011, 958139, 958235, 958363, 958491, 958619, 958747, 958843, 958971, 959099, 961197, 961325, 961453, 961581, 961709, 961837, 961965, 962061, 962189, 962317, 962445, 962573, 962669, 962797, 962925, 970822, 970950, 971078, 971206, 971334, 971462, 971590, 971686, 971814, 971942, 972070, 972198, 972294, 972422, 972550, 974648, 974776, 974904, 975032, 975160, 975288, 975416, 975512, 975640, 975768, 975896, 976024, 976120, 976248, 976376, 978474, 978602, 978730, 978858, 978986, 979114, 979242, 979338, 979466, 979594, 979722, 979850, 979946, 980074, 980202, 988817, 988941, 989065, 989189, 989313, 989437, 989561, 989654, 989778, 989902, 990026, 990150, 990243, 990367, 990491, 992519, 992643, 992767, 992891, 993015, 993139, 993263, 993356, 993480, 993604, 993728, 993852, 993945, 994069, 994193, 996221, 996345, 996469, 996593, 996717, 996841, 996965, 997058, 997182, 997306, 997430, 997554, 997647, 997771, 997895]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\.', '6')","[25168, 147399, 283371, 419877, 569873]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_0.cfs')","[14532, 263573, 263836, 264075, 277821, 550075, 550338, 550577, 564323, 700071, 700334, 700573, 714419, 716787, 717532, 717887, 718267, 719111, 719298, 719485, 734936, 735859, 736664, 736732, 737218, 740906, 741267, 741628, 741989, 742263, 757881, 758369, 759275, 759728, 760634, 783139, 783697, 784150, 784603, 785509, 786317, 787732, 790585, 792235, 792315, 792670, 793380, 794365, 794445, 794800, 794959, 795146, 795333, 795520, 795707, 795894, 796081, 796268, 796716, 796903, 797177, 797451, 797638, 797912, 798186, 812005, 816098, 816327, 816696, 817051, 836063, 836502, 836955, 837408, 837861, 840885, 841240, 841595, 843392, 843579, 844192, 858437, 861195, 861550, 861905, 862260, 862774, 862961, 863148, 863335, 877344, 879977, 880057, 880767, 881122, 882923, 883110, 883297, 883484, 897555, 897910, 900268, 900623, 901253, 921503, 921858, 922213, 922568, 922985, 927693, 927967, 942524, 944882, 945437, 945592, 945947, 950069, 950611, 950885, 966296, 966651, 967006, 967636, 967716, 967875, 968062, 968249, 968436, 968623, 984361, 984716, 985071, 985426, 985781, 985940, 986127, 986314, 986501, 986688, 1001676, 1002031, 1002421, 1002776, 1003841, 1007355, 1007629, 1007990, 1008264, 1008625]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '\\d+\\)', 'w')","[36112, 38032, 158343, 160263, 294315, 296235, 430821, 432741, 580817, 582737]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[A-Z]\\.', '2')","[22240, 22720, 23200, 78400, 144471, 144951, 145431, 200631, 280443, 280923, 281403, 336603, 416949, 417429, 417909, 473109, 566945, 567425, 567905, 623105]"
"('PDFTextStripper.java', 'org.apache.pdfbox.util.PDFTextStripper', 'matchPattern', '[a-z]\\)', 'P')","[45904, 51184, 65104, 68464, 69424, 76144, 80464, 80944, 81424, 97744, 115024, 168135, 173415, 187335, 190695, 191655, 198375, 202695, 203175, 203655, 219975, 237255, 304107, 309387, 323307, 326667, 327627, 334347, 338667, 339147, 339627, 355947, 373227, 440613, 445893, 459813, 463173, 464133, 470853, 475173, 475653, 476133, 492453, 509733, 590609, 595889, 609809, 613169, 614129, 620849, 625169, 625649, 626129, 642449, 659729]"
"('Joda.java', 'org.elasticsearch.common.joda.Joda$EpochTimeParser', 'parseInto', '^-?\\d{1,13}$', '1515825111098')",[834973]
"('PackagePartName.java', 'org.apache.poi.openxml4j.opc.PackagePartName', 'isRelationshipPartURI', '^.*/_rels/.*\\.rels$', '/word/theme/_rels/theme1.xml.rels')","[405359, 405415, 541564, 541620, 691560, 691616]"
"('PackagingURIHelper.java', 'org.apache.poi.openxml4j.opc.PackagingURIHelper', 'toURI', '\\w+://', '/word/fontTable.xml')","[401378, 403823, 537583, 540028, 687579, 690024]"
