"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '\tby thor.apache.org (8.13.8+Sun/8.13.8) with ESMTP id o8FEfYjF006141')",[160959]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'COCOON-2030 submit-on-change doesn\'t work for a multivaluefield with list-type=""checkbox""')","[127659, 168495]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'list-unsubscribe: <mailto:dev-unsubscribe@cocoon.apache.org>')","[2215, 5365, 9065, 22915, 25865, 29415, 43315, 54115, 57265, 60115, 73965, 76915, 79765, 93665, 105090, 111390, 118790, 146534, 152434, 159534, 187916]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '>                 Key: COCOON-2300')","[7440, 115540]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '> jboss-5.1.0.GA vfszip protocol in CharsetFactory')","[7290, 115240]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 28372 invoked by uid 500); 9 Sep 2010 21:09:55 -0000')",[145959]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1360 [patch] client side validation for CForms')","[18965, 39365, 70015, 89715, 138634, 179768]"
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', 'Hi all,')","[266371, 267571]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1794')","[16340, 36740, 67390, 87090, 133384, 174298]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-2100 Retrieving mimeType returned by pipeline executed from Flow')","[13065, 33465, 64115, 83815, 126834, 167670]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1336')","[139559, 180693]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    Attachment: QuartzJobScheduler.patch')","[27565, 78615, 155834]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '----------')","[46165, 52515, 96515, 102865, 193616, 206316]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1556 [PATCH] Add a JXPathConvertor for conversion betwean beans and Strings')","[135209, 176343]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-2040')","[127109, 167945]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1963 Add a redirect action to the browser update handler')","[14265, 34665, 65315, 85015, 129234, 170070]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Find this repository (http://daisycms.org/maven/maven2/dev/), but there is just 2.5 versions of libs.')",[192291]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '> ------------------------------------------------')",[115265]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '-----------------------------------------')","[24340, 75390, 149384]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Message-Id: <somebody@example.com>')","[274262, 277124]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Ugrade dependencies to 2.5 or another 1.5 repository ?')","[45640, 95990, 192566]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '>                 URL: https://issues.apache.org/jira/browse/COCOON-2300')","[7465, 115590]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.text.SequenceFilesFromLuceneStorageMRJobTest')",[239909]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '>          Issue Type: Bug')",[115815]
"('SequenceFilesFromMailArchivesMapper.java', 'org.apache.mahout.text.SequenceFilesFromMailArchivesMapper', 'parseMailboxLineByLine', '^subject: (.*)$', 'Return-Path: <somebody@example.com>')","[265921, 267121]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-865')","[21540, 41940, 72590, 92290, 143784, 185166]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-867  [PATCH] wsinclude and htmlinclude transformers')","[143409, 184791]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '--')","[4490, 8190, 24990, 28540, 53340, 56390, 59240, 76040, 78890, 103690, 109640, 117040, 150684, 157784, 207966, 273352, 276188]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_2.nvm')","[221151, 224403, 228755, 246696, 249588, 257383]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2294')","[11240, 31640, 62290, 81990, 123140, 163984]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Subscriber: cocoon')","[121715, 162359]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testMultipleNoms(org.apache.mahout.utils.vectors.arff.ARFFVectorIterableTest)')","[175001, 184158, 184169, 184179]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1249')","[141109, 182315]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '')","[107765, 108065, 108965, 109065, 109265, 109465, 109965, 110065, 114065, 114165, 114365, 114665, 114865, 115065, 116865, 117365, 117465, 121365, 121765, 144809, 145109, 145209, 149109, 149409, 150209, 150309, 150509, 151009, 151109, 155109, 155209, 155409, 155709, 155909, 156109, 157609, 158109, 158209, 162009, 162409, 186191, 186491, 186591, 190591, 190891, 191691, 191791, 191991, 192191, 192391, 192591, 192791, 193391, 193791, 193991, 194291, 194591, 194991, 195191, 195391, 195691, 195991, 196391, 196591, 196791, 197091, 197391, 197791, 197991, 198191, 198491, 198791, 199191, 199391, 199591, 199891, 200191, 200591, 200791, 200991, 201291, 201591, 201991, 202191, 202391, 202691, 202991, 203391, 203591, 203791, 204091, 204391, 204791, 204991, 205191, 205491, 205791, 206191, 206491, 206691, 206891, 207591, 207691, 207791]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Content-Type: text/plain; charset=utf-8')","[3390, 6590, 10190, 24090, 27090, 30540, 44490, 55290, 58490, 61240, 75140, 78140, 80890, 94840, 107440, 113840, 121040, 148884, 154884, 161784, 190266]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1302')","[19815, 40215, 70865, 90565, 140334, 181468]"
"('MailArchivesClusteringAnalyzer.java', 'org.apache.mahout.text.MailArchivesClusteringAnalyzer$AlphaNumericMaxLengthFilter', 'incrementToken', '^[a-z][a-z0-9_]+$', 'apache_hadoop')",[259244]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-719')","[21840, 42240, 72890, 92590, 144384, 185766]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1973 CaptchaValidator: allow case-insensitive matching')","[128809, 169645]"
"('LuceneIndexFileNameFilter.java', 'org.apache.mahout.text.LuceneIndexFileNameFilter', 'accept', '_[a-z0-9]+(_.*)?\\..*', '_2.cfe')","[221901, 225369, 229295, 229975, 230655, 259613, 262385, 263243, 263683, 269108, 269564, 270004, 270448, 271102, 271674]"
"('LuceneIndexFileNameFilter.java', 'org.apache.mahout.text.LuceneIndexFileNameFilter', 'accept', '_[a-z0-9]+(_.*)?\\..*', 'segments_3')","[222066, 225539, 229465, 230145, 230825, 259838, 262500, 263353, 263793, 269223, 269674, 270114, 270563, 271212, 271850]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1203')","[141509, 182746]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'From dev-return-102527-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Wed Sep 01 21:01:35 2010')",[103915]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testIterable(org.apache.mahout.utils.vectors.lucene.LuceneIterableTest)')","[210648, 210669, 210721, 210732, 210742]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Find this repository (http://daisycms.org/maven/maven2/dev/), but there is just 2.5 versions of libs.')","[45515, 95865, 192316]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '> Parsing the vfszip protocol in CharsetFactory solves the problem.')",[116765]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1556 [PATCH] Add a JXPathConvertor for conversion betwean beans and Strings')","[17265, 37665, 68315, 88015, 135234, 176368]"
"('IndexFileDeleter.java', 'org.apache.lucene.index.IndexFileDeleter', '<init>', '_[a-z0-9]+(_.*)?\\..*', '_0.si')","[213634, 219857, 220717, 223069, 223955, 227461, 228321, 232289, 236126, 240497, 241629, 242254, 245117, 245822, 246262, 249168, 250016, 250313, 250616, 254103, 255204, 256963, 261596, 265297]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'From dev-return-102531-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Thu Sep 09 21:12:00 2010')","[25290, 76340, 151284]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1914')","[15215, 35615, 66265, 85965, 131134, 172048]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '  cocoondev (http://cocoondev.org/repository),')","[53090, 103440, 207466]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Hi,')","[45340, 95690, 191966]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 17581 invoked by uid 500); 18 Sep 2010 00:15:19 -0000')",[187541]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-871')","[21315, 41715, 72365, 92065, 143334, 184716]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Received: (qmail 26764 invoked by uid 99); 1 Sep 2010 21:01:33 -0000')",[105615]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Received: (qmail 28372 invoked by uid 500); 9 Sep 2010 21:09:55 -0000')","[22615, 73665, 145934]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2301')","[31015, 81365, 162734]"
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '90')",[209172]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1360')","[138709, 179843]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-2262 container.refresh() is called before embeddedServlet.init()')","[124009, 164809]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: from unknown (HELO mail.apache.org) (140.211.11.3)')","[104265, 110565, 117965, 145709, 151609, 158709, 187091]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1368 [PATCH] HTTPRequestTransformer')","[138209, 179343]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1519')","[17740, 38140, 68790, 88490, 136184, 177318]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '          Components: Blocks: Serializers')","[3965, 55865, 108590]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'The QuartzJobScheduler is modified to respond to a configuration parameter: clustered=true so that it can correctly use a clustered job store when using cocoon in a cluster.')","[24890, 75940, 150484]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '[INFO] ------------------------------------------------------------------------')","[45890, 45990, 96240, 96340, 193066, 193266]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '------------------------------------------------')",[108015]
"('IndexFileDeleter.java', 'org.apache.lucene.index.IndexFileDeleter', '<init>', '_[a-z0-9]+(_.*)?\\..*', 'segments_1')","[213460, 219885, 223098, 227489, 232316, 236153, 240523, 241656, 242281, 245144, 245849, 250042, 250340, 250643, 254129, 255231, 261623, 265354]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'In-Reply-To: <4580051.103361284066572901.JavaMail.jira@thor>')",[154659]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Thu, 09 Sep 2010 21:09:53 +0000')","[147259, 147759]"
"('SegmentInfo.java', 'org.apache.lucene.index.SegmentInfo', 'checkFileNames', '_[a-z0-9]+(_.*)?\\..*', '_1.cfe')","[214034, 214264, 220415, 220661, 221021, 222330, 223644, 223897, 224269, 225811, 228019, 228265, 228625, 229737, 230417, 231097, 232830, 234624, 236667, 237418, 237818, 238528, 238836, 239158, 239466, 239774, 242462, 242863, 243265, 243694, 244988, 245658, 246206, 246566, 247375, 248406, 249114, 249462, 251157, 251390, 251845, 252246, 252479, 252665, 253155, 255041, 255906, 256127, 256705, 256909, 257257, 258162, 260198, 261065, 262227, 262684, 263529, 263969, 264357, 264665, 264973, 268043, 268400, 268708, 269016, 269407, 269850, 270290, 270747, 271014, 271520, 271806, 272026]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'Return-Path: <dev-return-102531-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org>')","[25315, 76365, 151334]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '    by apache.org (qpsmtpd/0.29) with ESMTP; Wed, 15 Sep 2010 14:41:56 +0000')","[29765, 80115, 160234]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'Subject: Ant task for JDK1.1 collections build option')","[272722, 275540]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1203')","[20440, 40840, 71490, 91190, 141584, 182821]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-871  [PATCH] XML posting from SourceWritingTransformer by using an enhanced HTTPClientSource')","[21265, 41665, 72315, 92015, 143234, 184616]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '          Components: Blocks: Cron')",[149959]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Subject: [jira] Created: (COCOON-2302) C2.2 : unable to find daisy-..-1.5')",[189891]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1519 [PATCH] TeeTransformer refactoring')","[136009, 177143]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '\tfor <dev@cocoon.apache.org>; Sat, 18 Sep 2010 00:14:39 GMT')","[44065, 94415, 189416]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '> Cocoon Cron Block Configurable Clustering')",[156209]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'List-Post: <mailto:dev@cocoon.apache.org>')","[2265, 5415, 9115, 22965, 25915, 29465, 43365, 54165, 57315, 60165, 74015, 76965, 79815, 93715, 105190, 111490, 118890, 146634, 152534, 159634, 188016]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Content-Type: text/plain; charset=utf-8')","[107365, 113765, 120965, 148809, 154809, 161709, 190191]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', ""COCOON-1384 [PATCH] flow redirector should allow explicit 'cocoon:' scheme"")","[18565, 38965, 69615, 89315, 137834, 178968]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'list-unsubscribe: <mailto:dev-unsubscribe@cocoon.apache.org>')","[105115, 111415, 118815, 146559, 152459, 159559, 187941]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-1325 [PATCH] commons-fileupload based multipart parser')","[140009, 181143]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2137')","[12840, 33240, 63890, 83590, 126384, 167220]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '>          Components: Blocks: Cron')","[28140, 156984]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testCDbw0(org.apache.mahout.clustering.cdbw.TestCDbwEvaluator)')","[216484, 217006, 217017, 217027]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'From dev-return-102533-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Sat Sep 18 00:15:21 2010')",[186741]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^message-id: <(.*)>$', 'Received: (qmail 92717 invoked from network); 9 Sep 2010 21:09:55 -0000')","[22490, 73540, 145684]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-2249')","[11940, 32340, 62990, 82690, 124584, 165384]"
