"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_approveForDeliveryTeam(aaron.test.test.ClaimsReceivedByMonitoringOfficerTest)')","[10756, 14104, 25197, 29944, 37281, 52605, 56385, 69062, 79447, 93837, 97401, 109286, 120090, 136348, 140344, 153813, 166045, 183704, 188024, 202681, 215637, 234230, 238766, 296951, 298753]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package p.test;\nimport p.*;\nimport org.junit.*;\n\n/**\n * tests for TestStateMachine\n */\n@Ignore(""base class"")\nabstract class AbstractTestTest \n{\n    /**\n     *\n     */\n    protected TestStateMachine newStateMachine()\n    {\n        final TestStateMachine fsm = TestStateMachine.createAndStart(); \n        Assert.assertNotNull(fsm);\n        return fsm;\n    }\n}\n')",[287083]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_moveToClaimsPaymentRejected(aaron.test.test.ClaimsReadyForPaymentTest)')","[8183, 8214, 8245, 11903, 11934, 11965, 24261, 24285, 24309, 35974, 36004, 36034, 49700, 49735, 49770, 53900, 53935, 53970, 67970, 67998, 68026, 78228, 78256, 78284, 91098, 91131, 91164, 95058, 95091, 95124, 108272, 108298, 108324, 118695, 118727, 118759, 133277, 133314, 133351, 137717, 137754, 137791, 152643, 152673, 152703, 164518, 164553, 164588, 180384, 180424, 180464, 185184, 185224, 185264, 201394, 201427, 201460, 214022, 214059, 214096, 230744, 230786, 230828, 235784, 235826, 235868, 293953, 293993, 294033, 295261, 295303, 295345]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_moveToClaimsReceivedByDeliveryTeam(aaron.test.test.ClaimsReceivedByHeadOfDeliveryTest)')","[12647, 12678, 12709, 15995, 16026, 16057, 25893, 25917, 25941, 38288, 38318, 38348, 54740, 54775, 54810, 58520, 58555, 58590, 69874, 69902, 69930, 80386, 80414, 80442, 95850, 95883, 95916, 99414, 99447, 99480, 110040, 110066, 110092, 121165, 121197, 121229, 138605, 138642, 138679, 142601, 142638, 142675, 154683, 154713, 154743, 167222, 167257, 167292, 186144, 186184, 186224, 190464, 190504, 190544, 203638, 203671, 203704, 216882, 216919, 216956, 236792, 236834, 236876, 241328, 241370, 241412, 300053, 300093, 300133, 301345, 301387, 301429]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsMarkPaymentAsComplete extends AbstractTransition<ClaimsPaymentReceived, ClaimsPaymentComplete>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""mark payment as complete"";\n\n    TransitionClaimsMarkPaymentAsComplete(final ClaimsPaymentReceived from, final ClaimsPaymentComplete to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[266710]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\benum (\\w+).*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsRejectPayment extends AbstractTransition<ClaimsReadyForPayment, ClaimsPaymentRejected>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""reject payment"";\n\n    TransitionClaimsRejectPayment(final ClaimsReadyForPayment from, final ClaimsPaymentRejected to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[264354]
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\nimport java.util.Collection;\nimport java.util.Map;\nimport java.util.HashMap;\n        \nabstract class AbstractClaimsState implements State\n{\n    private final Map<String, Transition> transitionsByName;\n\n    private final ClaimsStateMachine stateMachine;\n    private final StateNotifier notifier;\n    \n    AbstractClaimsState(final ClaimsStateMachine fsm)\n    {\n        if (fsm == null)\n        {\n            throw new NullPointerException(""state machine cannot be null"");\n        }\n        this.stateMachine = fsm;\n        this.notifier = fsm.newNotifier();\n        this.transitionsByName = new HashMap<String, Transition>();\n    }\n    \n    public ClaimsStateMachine getStateMachine()\n    {\n        return this.stateMachine;\n    }\n\n\n    /**\n     * @param fsm\n     */\n    void initialise()\n    {\n        for(final Transition transition  : initialiseTransitions())\n        {\n            this.transitionsByName.put(transition.getName(), transition);\n        }    \n    }\n    \n    Collection<Transition> getTransitions()\n    {\n        return this.transitionsByName.values();\n    }\n\n    Collection<String> getTransitionNames()\n    {\n        return this.transitionsByName.keySet();\n    }\n    \n    final Transition getTransitionForName(final String name)\n    {\n        return this.transitionsByName.get(name);\n    }\n\n    abstract Collection<Transition> initialiseTransitions();\n\n    /**\n     * @return true if the listener was successfully registered\n     */\n    public <T extends StateListener> T registerListener(final T listener)\n    {\n        final boolean registered = this.notifier.registerListener(listener);\n        assert registered : ""listener not registered: "" + listener;\n        return listener;\n    }\n\n    public boolean unregisterListener(final StateListener listener)\n    {\n        return this.notifier.unregisterListener(listener);\n    }\n\n    final TransitionGuard onExit(final Transition transition)\n    {\n        return this.notifier.onBeforeTransition(transition);\n    }\n\n    final TransitionGuard onEnter(final Transition transition)\n    {\n        return this.notifier.onAfterTransition(transition);\n    }\n\n    /**\n     * @param the target state\n     * @return the transition paths\n     */\n    public TransitionPaths getPaths(final State toState)\n    {\n        final TransitionPaths paths = new TransitionPaths();\n        final TransitionPath path = new TransitionPath(this);\n\n        appendPathRecursive(paths, path, toState);\n\n        return paths;\n    }\n\n    private void appendPathRecursive(final TransitionPaths paths, final TransitionPath srcPath, final State goal)\n    {\n        for (final Transition transition : getTransitions())\n        {\n            final TransitionPath path = srcPath.clonePath();\n            final AbstractClaimsState targetState = (AbstractClaimsState) transition.getTarget();\n\n            final boolean notRecursivePathLoop = path.add(targetState, transition);\n\n            if (notRecursivePathLoop)\n            {\n                if (targetState.equals(goal))\n                {\n                   paths.add(path); \n                }\n                else\n                {\n                    targetState.appendPathRecursive(paths, path, goal);\n                }\n            }\n        }\n    }\n    \n    /**\n     *\n     */\n    @Override\n    public String toString()\n    {\n        final StringBuilder builder = new StringBuilder();\n        final String newLine = String.format(""%n"");\n        builder.append(getName()).append(newLine);\n        for (final Transition transition : getTransitions())\n        {\n            builder.append(""\\t"").append(transition).append(newLine);\n        }\n        builder.append(""\\t"").append(this.notifier).append(newLine);\n        return builder.toString();\n    }\n}\n')",[263010]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'test_getStateForName(aaron.test.test.ClaimsStartStateTest)')","[1622, 16832, 18568, 27309, 30446, 40332, 40955, 59465, 61425, 71526, 82292, 82873, 100305, 102153, 111574, 123347, 124012, 143600, 145672, 156453, 169611, 170339, 191544, 193784, 205585, 219409, 220179, 242462, 244814, 305289, 306091]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'com.porpoise.fsm.model.StateMachineTest')","[310976, 310996, 311017, 311037]"
"('FilenameHelper.java', 'com.porpoise.fsm.generator.FilenameHelper', 'parse', '.*?\\bclass (\\w+).*', 'package aaron.test;\n\n/**\n *\n */\npublic class TransitionClaimsSubmitToDeliveryTeam extends AbstractTransition<ClaimsNotReceived, ClaimsReceivedByDeliveryTeam>\n{\n    /**\n     * the transition name\n     */\n    public final static String NAME = ""submit to delivery team"";\n\n    TransitionClaimsSubmitToDeliveryTeam(final ClaimsNotReceived from, final ClaimsReceivedByDeliveryTeam to) \n    {\n        super(from, to);\n    }\n    \n    /**\n     * @return the name\n     */\n    @Override\n    public String getName()\n    {\n        return NAME;\n    }\n}\n')",[266071]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'test_init(aaron.test.test.ClaimsStartStateTest)')","[17359, 17390, 17421, 19095, 19126, 19157, 27717, 27741, 27765, 40842, 40872, 40902, 60060, 60095, 60130, 62020, 62055, 62090, 72002, 72030, 72058, 82768, 82796, 82824, 100866, 100899, 100932, 102714, 102747, 102780, 112016, 112042, 112068, 123891, 123923, 123955, 144229, 144266, 144303, 146301, 146338, 146375, 156963, 156993, 157023, 170206, 170241, 170276, 192224, 192264, 192304, 194464, 194504, 194544, 206146, 206179, 206212, 220038, 220075, 220112, 243176, 243218, 243260, 245528, 245570, 245612, 305969, 306009, 306049, 306805, 306847, 306889]"
