"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'www.coach.com')","[2287, 2479, 2766, 49062, 49256, 49546]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.flyhz.avengers.parser.CoachUrlParserTest')","[75, 104303]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.flyhz.avengers.parser.NuaaParserTest')","[36, 460]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Fri, 01 Jan 1990 00:00:00 GMT')","[43834, 43932, 93184, 93283]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'www.coach.com')","[2097, 2574, 48870, 49352]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 13 Feb 2018 13:30:42 GMT')","[59339, 59553]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testParserContent(com.flyhz.avengers.parser.NuaaParserTest)')","[56, 155]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Thu, 21 Dec 2017 16:09:56 GMT')","[43318, 43476, 92480, 92640]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 13 Feb 2018 13:30:38 GMT')","[2926, 3082, 49708, 49866]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 's.ytimg.com')","[28546, 28756, 29070, 29384, 29698, 30012, 30326, 30640, 30954, 31268, 31582, 31896, 32210, 32524, 32838, 33152, 33466, 33780, 34094, 34408, 34722, 35036, 35350, 35664, 35978, 36292, 36606, 36920, 37234, 37548, 37862, 38176, 38490, 38804, 39118, 39432, 39746, 40060, 40374, 40688, 41002, 41316, 41630, 41944, 42258, 42572, 42886, 77566, 77778, 78095, 78412, 78729, 79046, 79363, 79680, 79997, 80314, 80631, 80948, 81265, 81582, 81899, 82216, 82533, 82850, 83167, 83484, 83801, 84118, 84435, 84752, 85069, 85386, 85703, 86020, 86337, 86654, 86971, 87288, 87605, 87922, 88239, 88556, 88873, 89190, 89507, 89824, 90141, 90458, 90775, 91092, 91409, 91726, 92043]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 25 Apr 2017 17:28:03 GMT')","[12587, 61443]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'use.typekit.net')","[10835, 11312, 57693, 58175]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sun, 14 Jan 2018 13:30:36 GMT')","[44012, 44170, 101041, 101201]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 05:01:35 GMT')",[517]
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sun, 14 Jan 2018 13:30:35 GMT')","[44328, 44486, 101361, 101521]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 27 Apr 1971 19:44:06 EST')","[26781, 26859, 75785, 75864]"
"('DisabledAlgorithmConstraints.java', 'sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints', '<init>', '(\\S+)\\s+keySize\\s*(<=|<|==|!=|>|>=)\\s*(\\d+)', 'MD2')",[339]
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 's.ytimg.com')","[28442, 28651, 28965, 29279, 29593, 29907, 30221, 30535, 30849, 31163, 31477, 31791, 32105, 32419, 32733, 33047, 33361, 33675, 33989, 34303, 34617, 34931, 35245, 35559, 35873, 36187, 36501, 36815, 37129, 37443, 37757, 38071, 38385, 38699, 39013, 39327, 39641, 39955, 40269, 40583, 40897, 41211, 41525, 41839, 42153, 42467, 42781, 77461, 77672, 77989, 78306, 78623, 78940, 79257, 79574, 79891, 80208, 80525, 80842, 81159, 81476, 81793, 82110, 82427, 82744, 83061, 83378, 83695, 84012, 84329, 84646, 84963, 85280, 85597, 85914, 86231, 86548, 86865, 87182, 87499, 87816, 88133, 88450, 88767, 89084, 89401, 89718, 90035, 90352, 90669, 90986, 91303, 91620, 91937]"
"('Cipher.java', 'javax.crypto.Cipher$Transform', 'supports', 'NOPADDING|PKCS1PADDING|OAEPWITHMD5ANDMGF1PADDING|OAEPWITHSHA1ANDMGF1PADDING|OAEPWITHSHA-1ANDMGF1PADDING|OAEPWITHSHA-256ANDMGF1PADDING|OAEPWITHSHA-384ANDMGF1PADDING|OAEPWITHSHA-512ANDMGF1PADDING', 'PKCS1PADDING')","[1155, 3887, 6792, 9893, 45202, 47919, 50678, 53609, 56742, 94495, 97913, 102244]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'use.typekit.net')","[10930, 11121, 11408, 57789, 57982, 58272]"
"('DisabledAlgorithmConstraints.java', 'sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints', '<init>', '(\\S+)\\s+keySize\\s*(<=|<|==|!=|>|>=)\\s*(\\d+)', 'SSLv3')",[268]
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 14 Nov 2017 11:15:28 GMT')","[58798, 59014, 59230, 59446, 59662, 59878, 60094, 60310]"
"('Cipher.java', 'javax.crypto.Cipher$Transform', 'supports', 'ECB', 'ECB')","[1046, 3767, 6663, 9784, 45093, 47809, 50557, 53479, 56632, 94373, 97783, 102134]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'cdn.cquotient.com')","[46144, 46621, 103195, 103677]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 13 Feb 2018 13:34:27 GMT')","[93533, 93779]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'www.google-analytics.com')","[5140, 5354, 5674, 8144, 8376, 8723, 51942, 52158, 52481, 54972, 55206, 55556]"
"('DisabledAlgorithmConstraints.java', 'sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints', '<init>', '(\\S+)\\s+keySize\\s*(<=|<|==|!=|>|>=)\\s*(\\d+)', 'RSA keySize < 1024')",[410]
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Fri, 12 Jan 2018 17:38:35 GMT')","[100661, 100861]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 04:56:50 GMT')","[55657, 55756]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'www.youtube.com')","[14360, 14551, 14838, 15125, 15412, 15699, 15986, 16273, 16560, 16847, 17134, 17421, 17708, 17995, 18282, 18569, 18856, 19143, 19430, 19717, 20004, 20291, 20578, 20865, 21152, 21439, 21726, 22013, 22300, 22587, 22874, 23161, 23448, 23735, 24022, 24309, 24596, 24883, 25170, 25457, 25744, 26031, 26318, 26605, 63234, 63427, 63717, 64007, 64297, 64587, 64877, 65167, 65457, 65747, 66037, 66327, 66617, 66907, 67197, 67487, 67777, 68067, 68357, 68647, 68937, 69227, 69517, 69807, 70097, 70387, 70677, 70967, 71257, 71547, 71837, 72127, 72417, 72707, 72997, 73287, 73577, 73867, 74157, 74447, 74737, 75027, 75317, 75607]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'www.loopassets.net')","[95554, 96096, 96422, 96748, 99044, 99626, 99976, 100326]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.flyhz.avengers.parser.CoachParserTest')","[114, 104325]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6HexCompressedAddress', '^(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)::(([0-9A-Fa-f]{1,4}(:[0-9A-Fa-f]{1,4}){0,5})?)$', 'www.youtube.com')","[14455, 14647, 14934, 15221, 15508, 15795, 16082, 16369, 16656, 16943, 17230, 17517, 17804, 18091, 18378, 18665, 18952, 19239, 19526, 19813, 20100, 20387, 20674, 20961, 21248, 21535, 21822, 22109, 22396, 22683, 22970, 23257, 23544, 23831, 24118, 24405, 24692, 24979, 25266, 25553, 25840, 26127, 26414, 26701, 63330, 63524, 63814, 64104, 64394, 64684, 64974, 65264, 65554, 65844, 66134, 66424, 66714, 67004, 67294, 67584, 67874, 68164, 68454, 68744, 69034, 69324, 69614, 69904, 70194, 70484, 70774, 71064, 71354, 71644, 71934, 72224, 72514, 72804, 73094, 73384, 73674, 73964, 74254, 74544, 74834, 75124, 75414, 75704]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 06:31:13 GMT')","[5856, 6034, 52665, 52845]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'www.coach.com')","[2192, 2383, 2670, 48966, 49159, 49449]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sun, 14 Jan 2018 04:56:47 GMT')","[47093, 47217]"
"('Cipher.java', 'javax.crypto.Cipher$Transform', 'supports', 'ECB|CBC|PCBC|CTR|CTS|CFB|OFB|CFB8|CFB16|CFB24|CFB32|CFB40|CFB48|CFB56|CFB64|OFB8|OFB16|OFB24|OFB32|OFB40|OFB48|OFB56|OFB64|CFB72|CFB80|CFB88|CFB96|CFB104|CFB112|CFB120|CFB128|OFB72|OFB80|OFB88|OFB96|OFB104|OFB112|OFB120|OFB128', 'CBC')","[622, 832, 1264, 1482, 1694, 1900, 3299, 3531, 4007, 4247, 4481, 4709, 6159, 6409, 6921, 7179, 7431, 7677, 9360, 9570, 10002, 10220, 10432, 10638, 13008, 13218, 13432, 13650, 13862, 14068, 26973, 27201, 27433, 27669, 27899, 28123, 44669, 44879, 45311, 45529, 45741, 45947, 47381, 47593, 48029, 48249, 48463, 48671, 50085, 50319, 50799, 51041, 51277, 51507, 52971, 53223, 53739, 53999, 54253, 54501, 56204, 56416, 56852, 57072, 57286, 57494, 61869, 62081, 62297, 62517, 62731, 62939, 75979, 76209, 76443, 76681, 76913, 77139, 93897, 94133, 94617, 94861, 95099, 95331, 97275, 97527, 98043, 98303, 98557, 98805, 101706, 101918, 102354, 102574, 102788, 102996]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testParserContent(com.flyhz.avengers.parser.CoachParserTest)')","[134, 197]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv6StdAddress', '^[0-9a-fA-F]{1,4}(:[0-9a-fA-F]{1,4}){7}$', 'cdn.cquotient.com')","[46239, 46430, 46717, 103291, 103484, 103774]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sun, 14 Jan 2018 16:41:26 GMT')","[97059, 97149]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 09 Jan 2018 18:08:37 GMT')","[60526, 60742]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 13 Feb 2018 13:30:35 GMT')","[11664, 11820, 44408, 44564, 58531, 58689, 101442, 101600]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 16 Jan 2018 04:56:47 GMT')","[47032, 47155]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Tue, 14 Jan 2014 18:25:25 GMT')","[9168, 9255]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Sat, 13 Jan 2018 03:50:28 GMT')","[42975, 43151, 92133, 92311]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'www.youtube.com')","[14265, 14742, 15029, 15316, 15603, 15890, 16177, 16464, 16751, 17038, 17325, 17612, 17899, 18186, 18473, 18760, 19047, 19334, 19621, 19908, 20195, 20482, 20769, 21056, 21343, 21630, 21917, 22204, 22491, 22778, 23065, 23352, 23639, 23926, 24213, 24500, 24787, 25074, 25361, 25648, 25935, 26222, 26509, 63138, 63620, 63910, 64200, 64490, 64780, 65070, 65360, 65650, 65940, 66230, 66520, 66810, 67100, 67390, 67680, 67970, 68260, 68550, 68840, 69130, 69420, 69710, 70000, 70290, 70580, 70870, 71160, 71450, 71740, 72030, 72320, 72610, 72900, 73190, 73480, 73770, 74060, 74350, 74640, 74930, 75220, 75510]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 04:56:38 GMT')","[8823, 8921]"
"('InetAddressUtils.java', 'org.apache.http.conn.util.InetAddressUtils', 'isIPv4Address', '^(([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\\.){3}([0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])$', 'www.google-analytics.com')","[4928, 5460, 7914, 8491, 51728, 52265, 54740, 55322]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 04:56:51 GMT')","[56008, 56098]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 15 Jan 2018 05:01:50 GMT')",[47275]
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 22 Jan 2018 08:17:49 GMT')","[43064, 43238, 92223, 92399]"
"('Cache.java', 'com.gargoylesoftware.htmlunit.Cache', 'parseDateHeader', '-?\\d+', 'Mon, 14 Jan 2019 22:42:31 GMT')","[100762, 100960]"
