"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'isChanging', '.*', '1.1.1')",[88061]
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'getSavedArtifactOrigin', '.*:(.*)#(.*)#(.*)#(.*)(\\.location)?', 'artifact:httpcore#pom.original#pom#-20831083')","[137971, 409006]"
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'getSavedArtifactOrigin', '.*:(.*)#(.*)#(.*)#(.*)(\\.location)?', 'artifact:joda-time#pom.original#pom#-2037173264')","[360488, 471401]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testFreemarkerAllowsPageChanges(com.base2.kagura.core.report.connectors.JDBCDataReportConnectorTest)')","[2277, 3889, 5462, 6345, 8248, 10927, 12747, 14560, 17015, 19530, 21246, 22939, 25437, 28280, 30204, 32137, 35077, 38166, 40246, 42359, 45323, 48576, 50760, 55727, 57537]"
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'getSavedArtifactOrigin', '.*:(.*)#(.*)#(.*)#(.*)(\\.location)?', 'artifact:oss-parent#pom.original#pom#959591166')","[173615, 187428, 205976]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', '2.1')","[259929, 260493, 261057, 261621, 262185, 266226, 271113, 347037, 347613]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'getReports1Test(com.base2.kagura.core.report.configmodel.GroovyParamConfigTest)')","[359, 383, 407, 1068, 1099, 1130, 1440, 1471, 1502, 4718, 4742, 4766, 6137, 7044, 7074, 7104, 7185, 7213, 7241, 9562, 9597, 9632, 9982, 10017, 10052, 13692, 13720, 13748, 15893, 15921, 15949, 16024, 16050, 16076, 18243, 18276, 18309, 18639, 18672, 18705, 22133, 22159, 22185, 24151, 24183, 24215, 24302, 24332, 24362, 26837, 26874, 26911, 27281, 27318, 27355, 31207, 31237, 31267, 33668, 33703, 33738, 33834, 33867, 33900, 36606, 36646, 36686, 37086, 37126, 37166, 41336, 41369, 41402, 43832, 43869, 43906, 44008, 44043, 44078, 46938, 46980, 47022, 47442, 47484, 47526, 52913, 52953, 52993, 53077, 53119, 53161]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'awsImportTest(com.base2.kagura.core.report.connectors.GroovyDataReportConnectorTest)')","[686, 3021, 5942, 6450, 8985, 9128, 11767, 15120, 17702, 17835, 20322, 23459, 26224, 26377, 29168, 32737, 35939, 36107, 39126, 43019, 46235, 46413, 49584, 58473, 58635]"
"('YAMLParser.java', 'com.fasterxml.jackson.dataformat.yaml.YAMLParser', '_decodeNumberScalar', '[-+]?([0-9][0-9_]*)?\\.[0-9]*([eE][-+][0-9]+)?', 'numbers')","[52422, 52532, 52613, 52694, 52775, 53369, 53479, 53560, 53641, 53722, 54316, 54426, 54507, 54588, 54669]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'maven-metadata-repo1.xml')","[246771, 247335, 247899, 248463, 249684, 251751, 275436, 336865, 337248]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'com.base2.kagura.core.report.configmodel.GroovyParamConfigTest')","[311, 7129, 15972, 24242, 33768, 43938]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'maven-metadata-spring-milestone.xml.sha1')","[227031, 227688, 229380, 230508, 231636, 233892, 234456, 245172, 250248, 258894, 268857, 339935]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'getReports2Test(com.base2.kagura.core.report.configmodel.GroovyReportTest)')","[452, 1285, 2897, 4790, 6158, 7271, 7414, 9807, 11627, 13776, 16104, 16237, 18474, 20190, 22211, 24394, 24547, 27096, 29020, 31297, 33935, 34103, 36886, 38966, 41435, 44115, 44293, 47232, 49416, 53820, 53982]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'maven-metadata-cdh.releases.repo.xml')","[288501, 289065, 289629, 292542, 306078, 325629, 333124]"
