"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I add 4 and 5(Scenario: Addition)')","[5012, 5038, 7360, 7386, 9194, 10437]"
"('FormatterFactory.java', 'cucumber.runtime.formatter.FormatterFactory', 'create', '([^:]+):(.*)', 'html:target/cucumber/html')",[68]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario Outline: Email confirmation')",[8298]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Feature: Dates with different date formats')",[6918]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given a calculator I just turned on(Scenario: Addition)')","[9148, 9171, 10391, 10414, 11357, 11428]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then the result is 9(Scenario: Addition)')","[5063, 5089, 7411, 7437, 9217, 10460]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 20 | 37 | 57 |')","[6602, 13254, 13297]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario: Determine past date')","[6941, 12494, 12565]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'tag')","[371, 728, 1085, 1637, 3098]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given the previous entries:(| 10 | 20 | 35 |)')","[5987, 6017, 9734]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I press +(| 1 | 2 | 8 |)')","[5377, 5407, 7725, 7755, 9409, 10652]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '| 1 | 2 | 8 |')","[5289, 7637, 11686, 11789]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Feature: Depositing money in to a User account')",[8949]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then the result is 55(| 20 | 30 | 55 |)')","[6545, 6575, 10009]"
