"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjenesisException.java')","[6366, 29726, 53112, 76472, 100007, 123679, 146481]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MultiANewArrayInsnNode.java')","[14206, 37566, 60952, 84312, 108043, 131323, 154125]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInterceptorFilter.java')","[16126, 39486, 62872, 86232, 110011, 133195, 155997]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Stubber.java')","[3726, 27086, 50472, 73832, 97301, 121105, 143907]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldWriter.java')","[4046, 27406, 50792, 74152, 97629, 121417, 144219]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BaseStubbing.java')","[12526, 35886, 59272, 82632, 106321, 129685, 152487]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UndeclaredThrowableStrategy.java')","[17326, 40686, 64072, 87432, 111241, 134365, 157167]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjectInputStreamInstantiator.java')","[1686, 25046, 48432, 71792, 95210, 119116, 141918]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnswerReturnValuesAdapter.java')","[15046, 38406, 61792, 85152, 108904, 132142, 154944]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassVisitor.java')","[19206, 42566, 65952, 89312, 113168, 136198, 159000]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Fields.java')","[17886, 41246, 64632, 87992, 111815, 134911, 157713]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArrayUtils.java')","[4446, 27806, 51192, 74552, 98039, 121807, 144609]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Local.java')","[886, 24246, 47632, 70992, 94390, 118336, 141138]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GreaterOrEqual.java')","[12086, 35446, 58832, 82192, 105870, 129256, 152058]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RegisteredInvocations.java')","[20926, 44286, 67672, 91032, 114931, 137875, 160677]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MixinEverythingEmitter.java')","[4406, 27766, 51152, 74512, 97998, 121768, 144570]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NewInstanceInstantiator.java')","[20486, 43846, 67232, 90592, 114480, 137446, 160248]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInfoTransformer.java')","[3566, 26926, 50312, 73672, 97137, 120949, 143751]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InOrder.java')","[8206, 31566, 54952, 78312, 101893, 125473, 148275]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LocalVariablesSorter.java')","[1846, 25206, 48592, 71952, 95374, 119272, 142074]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LenientCopyTool.java')","[1926, 25286, 48672, 72032, 95456, 119350, 142152]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NamingPolicy.java')","[20326, 43686, 67072, 90432, 114316, 137290, 160092]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BulkBean.java')","[10886, 34246, 57632, 80992, 104640, 128086, 150888]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationImpl.java')","[17806, 41166, 64552, 87912, 111733, 134833, 157635]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WantedButNotInvoked.java')","[15686, 39046, 62432, 85792, 109560, 132766, 155568]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Transformer.java')","[9126, 32486, 55872, 79232, 102836, 126370, 149172]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NotAMockException.java')","[1766, 25126, 48512, 71872, 95292, 119194, 141996]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SmallSet.java')","[9926, 33286, 56672, 80032, 103656, 127150, 149952]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testInjections(org.nuunframework.cli.NuunCliPluginTest)')","[78, 301]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MissingInvocationInOrderChecker.java')","[21926, 45286, 68672, 92032, 115956, 138850, 161652]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JRockit131Instantiator.java')","[22446, 45806, 69192, 92552, 116489, 139357, 162159]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Matchers.java')","[16926, 40286, 63672, 87032, 110831, 133975, 156777]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SignatureVisitor.java')","[6806, 30166, 53552, 76912, 100458, 124108, 146910]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceFieldVisitor.java')","[15006, 38366, 61752, 85112, 108863, 132103, 154905]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractMockitoMethodProxy.java')","[3046, 26406, 49792, 73152, 96604, 120442, 143244]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LookupSwitchInsnNode.java')","[22286, 45646, 69032, 92392, 116325, 139201, 162003]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BeanMap.java')","[6966, 30326, 53712, 77072, 100622, 124264, 147066]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SourceValue.java')","[19086, 42446, 65832, 89192, 113045, 136081, 158883]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeQualifierValidator.java')","[526, 23886, 47272, 70632, 94021, 117985, 140787]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NoMoreInteractions.java')","[10246, 33606, 56992, 80352, 103984, 127462, 150264]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'pom.properties')","[846, 24206, 47592, 70952, 94349, 118297, 141099]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractTransformTask.java')","[486, 23846, 47232, 70592, 93980, 117946, 140748]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Pluralizer.java')","[16766, 40126, 63512, 86872, 110667, 133819, 156621]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'KeyFactory.java')","[20246, 43606, 66992, 90352, 114234, 137212, 160014]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'startAsync_works_as_expected(org.nuunframework.cli.NuunCliPluginCallableTest)')","[139, 343]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Proxy.java')","[5446, 28806, 52192, 75552, 99064, 122782, 145584]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Calls.java')","[23126, 46486, 69872, 93232, 117186, 140020, 162822]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Only.java')","[18326, 41686, 65072, 88432, 112266, 135340, 158142]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Dispatcher.java')","[16246, 39606, 62992, 86352, 110134, 133312, 156114]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjectStreamClassInstantiator.java')","[21846, 45206, 68592, 91952, 115874, 138772, 161574]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckForNull.java')","[7366, 30726, 54112, 77472, 101032, 124654, 147456]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ParallelSorterEmitter.java')","[3446, 26806, 50192, 73552, 97014, 120832, 143634]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Or.java')","[14406, 37766, 61152, 84512, 108248, 131518, 154320]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AtLeastDiscrepancy.java')","[13966, 37326, 60712, 84072, 107797, 131089, 153891]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractClassGenerator.java')","[2086, 25446, 48832, 72192, 95620, 119506, 142308]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckMethodAdapter.java')","[8046, 31406, 54792, 78152, 101729, 125317, 148119]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvalidUseOfMatchersException.java')","[6486, 29846, 53232, 76592, 100130, 123796, 146598]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WarningsPrinterImpl.java')","[1286, 24646, 48032, 71392, 94800, 118726, 141528]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IOngoingStubbing.java')","[566, 23926, 47312, 70672, 94062, 118024, 140826]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationModeFactory.java')","[15766, 39126, 62512, 85872, 109642, 132844, 155646]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SmartPrinter.java')","[8366, 31726, 55112, 78472, 102057, 125629, 148431]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DelegatingMockitoMethodProxy.java')","[10446, 33806, 57192, 80552, 104189, 127657, 150459]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UndeclaredThrowableTransformer.java')","[12446, 35806, 59192, 82552, 106239, 129607, 152409]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'OngoingStubbingImpl.java')","[11686, 35046, 58432, 81792, 105460, 128866, 151668]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodNode.java')","[5926, 29286, 52672, 76032, 99556, 123250, 146052]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodFilter.java')","[21126, 44486, 67872, 91232, 115136, 138070, 160872]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Signature.java')","[10766, 34126, 57512, 80872, 104517, 127969, 150771]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CompareTo.java')","[13686, 37046, 60432, 83792, 107510, 130816, 153618]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TransformingClassGenerator.java')","[5366, 28726, 52112, 75472, 98982, 122704, 145506]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Answers.java')","[5686, 29046, 52432, 75792, 99310, 123016, 145818]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GuardedBy.java')","[16326, 39686, 63072, 86432, 110216, 133390, 156192]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ThrowsException.java')","[13046, 36406, 59792, 83152, 106854, 130192, 152994]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReflectionEquals.java')","[11126, 34486, 57872, 81232, 104886, 128320, 151122]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BDDMockito.java')","[1606, 24966, 48352, 71712, 95128, 119038, 141840]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationInOrderMode.java')","[15206, 38566, 61952, 85312, 109068, 132298, 155100]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LdcInsnNode.java')","[1406, 24766, 48152, 71512, 94923, 118843, 141645]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentsProcessor.java')","[5126, 28486, 51872, 75232, 98736, 122470, 145272]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Edge.java')","[22606, 45966, 69352, 92712, 116653, 139513, 162315]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentMatchingTool.java')","[8886, 32246, 55632, 78992, 102590, 126136, 148938]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoDebugger.java')","[15846, 39206, 62592, 85952, 109724, 132922, 155724]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AtLeastXNumberOfInvocationsInOrderChecker.java')","[2206, 25566, 48952, 72312, 95743, 119623, 142425]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnnotationVisitor.java')","[8846, 32206, 55592, 78952, 102549, 126097, 148899]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldProvider.java')","[806, 24166, 47552, 70912, 94308, 118258, 141060]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerboseMockInvocationLogger.java')","[22766, 46126, 69512, 92872, 116817, 139669, 162471]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractVisitor.java')","[19726, 43086, 66472, 89832, 113701, 136705, 159507]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsDeepStubs.java')","[19526, 42886, 66272, 89632, 113496, 136510, 159312]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GlobalConfiguration.java')","[6086, 29446, 52832, 76192, 99720, 123406, 146208]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldSetter.java')","[15086, 38446, 61832, 85192, 108945, 132181, 154983]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DispatcherGenerator.java')","[17486, 40846, 64232, 87592, 111405, 134521, 157323]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Exhaustive.java')","[21366, 44726, 68112, 91472, 115382, 138304, 161106]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AccessibilityChanger.java')","[20726, 44086, 67472, 90832, 114726, 137680, 160482]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ForwardsInvocations.java')","[1006, 24366, 47752, 71112, 94513, 118453, 141255]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LocalVariableNode.java')","[7446, 30806, 54192, 77552, 101114, 124732, 147534]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoConfigurationException.java')","[4606, 27966, 51352, 74712, 98203, 121963, 144765]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SelfDescribingValueIterator.java')","[21326, 44686, 68072, 91432, 115341, 138265, 161067]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsMoreEmptyValues.java')","[15806, 39166, 62552, 85912, 109683, 132883, 155685]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'EqualsBuilder.java')","[9646, 33006, 56392, 79752, 103369, 126877, 149679]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.nuunframework.cli.NuunCliPluginTest')","[36, 47152]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Nullable.java')","[7206, 30566, 53952, 77312, 100868, 124498, 147300]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'commons-lang-license.txt')","[9046, 32406, 55792, 79152, 102754, 126292, 149094]"
