"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'file:.')","[8311, 8391, 8647, 8727, 8983, 9063, 9319, 9399, 9834, 9914, 10393, 10473, 10864, 10944, 11160, 11242, 11549, 11631, 11848, 11930, 12192, 12274, 12536, 12618, 13108, 13190, 13590, 13672, 14072, 14154, 14416, 14498, 14943, 15025, 15293, 15375, 15957, 16043, 16364, 16450, 16677, 16763, 17037, 17123, 17397, 17483, 17995, 18081, 18499, 18585, 19003, 19089, 19363, 19449, 19914, 20000, 20280, 20366, 53243, 53337, 53893, 53987, 54645, 54739, 55193, 55287, 55741, 55835, 56391, 56485, 57143, 57237, 57793, 57887, 58545, 58639, 59093, 59187, 59743, 59837, 60659, 60739, 60995, 61075, 61510, 61590, 61981, 62061, 62452, 62532, 62876, 62956, 63391, 63471, 63950, 64030, 64242, 64322, 64666, 64746, 65181, 65261, 65784, 65864, 66076, 66156, 66324, 66404, 66616, 66696, 66952, 67032, 67244, 67324, 67803, 67883, 68095, 68175, 68610, 68690, 68902, 68982, 69505, 69585, 69841, 69921, 70089, 70169]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:curvedScore;')",[42318]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    bind:onProperty po:gradebookItem ;')",[23769]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:AssignmentResult rdfs:subClassOf')",[23711]
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://jena.hpl.hp.com/schemas/2003/03/ont-manager#')",[6937]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""normalMaximum"" : 100,')",[36947]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""An event which signals that a GradebookItem has been created or updated."" .')",[40955]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'lti:ProductFamily rdf:type owl:Class ; ')",[33020]
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://purl.org/pearson/xl/v1/vocab/course#')","[61244, 62833, 63640, 65430, 67201, 69063, 69462]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Assignment rdfs:subClassOf')",[23247]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""comments"" : ""Johnny was penalized for turning in the assignment late"",')",[21736]
