"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'file:.')","[9016, 9102, 9520, 9606, 10024, 10110, 10622, 10708, 33182, 33266, 33675, 33759, 34168, 34252, 34753, 34837, 35496, 35580, 35989, 36073, 36482, 36566, 37067, 37151, 37810, 37894, 38303, 38387, 38796, 38880, 39381, 39465, 40152, 40238, 40656, 40742, 41160, 41246, 41758, 41844, 65159, 65249, 65685, 65775, 66211, 66301, 66835, 66925]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'org.semantictools.jsonld.impl.OntologyNotFoundTest')","[116, 8900]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  Licensed under the Apache License, Version 2.0 (the ""License"");')","[14753, 15949, 46076, 47318]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://jena.hpl.hp.com/schemas/2003/03/ont-manager#')",[7519]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:maxQualifiedCardinality  1')","[21929, 23125, 53528, 54770]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""An event which signals that a GradebookItem has been created or updated."" .')","[23489, 55148]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'lti:ProductFamily rdf:type owl:Class ; ')","[17067, 48479]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'file:///home/pwang7/RepoReaper/3153_21/semantictools-jsonld/')","[9058, 9142, 9562, 9646, 10066, 10150, 10664, 10748, 33223, 33305, 33716, 33798, 34209, 34291, 34794, 34876, 35537, 35619, 36030, 36112, 36523, 36605, 37108, 37190, 37851, 37933, 38344, 38426, 38837, 38919, 39422, 39504, 40194, 40278, 40698, 40782, 41202, 41286, 41800, 41884, 65203, 65291, 65729, 65817, 66255, 66343, 66879, 66967]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The product family to which the integration partner (a tool belongs)."" .')","[17093, 48506]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      pm:metadata;')","[12283, 43511]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Deleted rdf:type po:ItemResultVitality ;')","[32797, 64814]"
