"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にS1,H4,D6,D8,C3が配られた')",[1984]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', 'チェンジしない')","[2051, 2855, 3659, 4463, 5267]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', '前提手札にH1,H4,D1,D8,D9が配られた                 ')",[1239]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', 'チェンジしない')","[2252, 3056, 3860, 4664, 5468]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'scenario_outline')",[276]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'feature')",[236]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'もしチェンジしない                  ')",[1294]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', '前提手札にS1,S2,S3,S4,C9が配られた         ')",[936]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '1のワンペアであるべき')",[4798]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にH1,H4,D2,D8,D9が配られた')",[3592]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'outline_step')","[316, 356, 396]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'ならば1のワンペアであるべき                   ')",[1349]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'もしチェンジしない                      ')",[1486]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', 'ノーペアであるべき')","[2520, 3324, 4128]"
"('FormatterFactory.java', 'cucumber.formatter.FormatterFactory', 'create', '([^:]+):(.*)', 'pretty')",[35]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '手札にH1,H4,D2,D8,D9が配られた')",[3391]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'ならばノーペアであるべき               ')",[1211]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '手札にH1,H4,D1,D8,D9が配られた')",[4262]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '手札にH1,H4,D2,D8,D9が配られた')",[3525]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '手札にH3,H9,D1,D8,D9が配られた')",[4999]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)のワンペアであるべき$', '手札にH1,H4,D1,D8,D9が配られた')",[4195]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'もしチェンジしない              ')",[1156]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '手札にS1,H4,D6,D8,C3が配られた')",[1917]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '手札にH3,H9,D1,D8,D9が配られた')",[5066]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '手札にH1,H4,D1,D8,D9が配られた')",[4329]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'ならばノーペアであるべき               ')",[1184]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'examples')",[436]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'ならば9のワンペアであるべき                       ')",[1541]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^手札に([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+),([SHDC])(\\d+)が配られた$', '手札にH3,H9,D1,D8,D9が配られた')",[5200]
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'pop()')",[193]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'もしチェンジしない          ')",[991]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', '前提手札にH1,H4,D2,D8,D9が配られた             ')",[1101]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^ノーペアであるべき$', '手札にS1,S2,S3,S4,C9が配られた')",[2721]
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', '前提手札にH1,H4,D1,D8,D9が配られた                 ')",[1266]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^チェンジしない$', '手札にS1,H4,D6,D8,C3が配られた')",[1850]
