"('TestRunner.java', 'org.testng.TestRunner', 'containsString', 'com.example.PrioritiesTest.first', 'com.example.GuiceTest.testService')","[679, 702]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.LocaleUtilsTest.testParseLocale')","[179, 204, 1005, 1032]"
"('TestRunner.java', 'org.testng.TestRunner', 'containsString', 'com.example.PrioritiesTest.first', 'com.example.PrioritiesTest.first')","[585, 608]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.ExceptionTest.testParse')","[128, 153, 1280, 1307]"
"('Invoker.java', 'org.testng.internal.Invoker', 'messageRegExpMatches', '^For input string: ""(.*)""$', 'For input string: ""1798237199878129387197238""')","[1565, 1594, 1622, 1649]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.GuiceTest.testService')","[536, 561, 730, 757]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.ConcurrencyTest.testParallelData')","[77, 102, 950, 977]"
"('TestRunner.java', 'org.testng.TestRunner', 'containsString', 'com.example.PrioritiesTest.first', 'com.example.LocaleUtilsOldStyleTest.testParseLocale')","[632, 655]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.LocaleUtilsTest.testGetCandidateLocales')","[230, 255, 1170, 1197]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.ConcurrencyTest.testMapOperationsSafe')","[26, 51, 1060, 1087]"
"('Invoker.java', 'org.testng.internal.Invoker', 'messageRegExpMatches', '^For input string: ""(.*)""$', 'For input string: ""Hello, World!!!""')","[1337, 1366, 1394, 1421]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.LocaleUtilsOldStyleTest.testParseLocale')","[485, 510, 785, 812]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.PrioritiesTest.third')","[383, 408, 895, 922]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.GenericTableTest.testTable')","[281, 306, 1225, 1252]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.PrioritiesTest.second')","[332, 357, 1115, 1142]"
"('Invoker.java', 'org.testng.internal.Invoker', 'messageRegExpMatches', '^For input string: ""(.*)""$', 'For input string: ""0x245""')","[1451, 1480, 1508, 1535]"
"('MethodHelper.java', 'org.testng.internal.MethodHelper', 'findDependedUponMethods', 'com.example.PrioritiesTest.first', 'com.example.PrioritiesTest.first')","[434, 459, 840, 867]"
