"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'com.epam.mep.ExpressionElementsRegExpBuilderTest')","[116, 3544]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\d+', '22')","[646, 670, 3903, 3928]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'com.epam.mep.MathExpressionParserTest')","[196, 6858]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '22')","[352, 376, 3597, 3622]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\*', '33')","[989, 1013, 4260, 4285]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '2')","[1822, 1846, 2557, 2581, 5127, 5152, 5892, 5917]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '1')","[2949, 2973, 6300, 6325]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\+', '3')","[1479, 1503, 4770, 4795]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\/', '33')","[1038, 1062, 4311, 4336]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\(', '33')","[891, 915, 4158, 4183]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'com.epam.mep.ExpressionElementFactoryTest')","[156, 3571]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\)', '3')","[1577, 1601, 4872, 4897]"
"('ExpressionTreeBuilder.java', 'com.epam.mep.parser.ExpressionTreeBuilder', 'build', '\\-', '*')","[2165, 2189, 5484, 5509]"
