"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'q')","[95486, 95535]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'K')","[17573, 17622]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'c')","[7277, 7326, 9059, 9108, 10940, 10989, 12128, 12177, 12227, 12276, 18860, 18909, 20048, 20097, 24008, 24057, 24404, 24453, 24800, 24849, 28760, 28809, 29354, 29403, 30344, 30393, 44798, 44847, 45689, 45738, 47669, 47718, 51629, 51678, 55985, 56034, 58163, 58212, 59549, 59598, 60836, 60885, 61133, 61182, 66083, 66132, 73211, 73260, 74795, 74844, 75389, 75438, 84893, 84942, 86972, 87021, 87566, 87615, 93605, 93654, 94991, 95040, 95882, 95931, 107564, 107613, 109445, 109494, 110930, 110979, 111524, 111573]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'u')","[248, 297, 1634, 1683, 8069, 8118, 12425, 12474, 26978, 27027, 31532, 31581, 44996, 45045, 48164, 48213, 48758, 48807, 51530, 51579, 55787, 55836, 60440, 60489, 62717, 62766, 63212, 63261, 64202, 64251, 64796, 64845, 65291, 65340, 72617, 72666, 78062, 78111, 84497, 84546, 86675, 86724, 91724, 91773, 95585, 95634, 99248, 99297, 109247, 109296, 113999, 114048, 115880, 115929]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$extractMutations$3', 'apply', '(?=([.,\\s)\\]\\\'"":;\\-?!/]|$))', ')')","[118086, 118140, 118411, 118465, 118736, 118790, 119061, 119115]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'O')","[17870, 17919, 100733, 100782, 101426, 101475]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'J')","[1139, 1188, 15296, 15345]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'S')","[49451, 49500, 53906, 53955, 89942, 89991, 90239, 90288, 101228, 101277, 101624, 101673]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '6')","[11237, 11286, 40343, 40392, 42422, 42471, 49748, 49797, 82319, 82368, 104198, 104247]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'P')","[10643, 10692, 54104, 54153, 62123, 62172]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'E')","[41927, 41976]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '9')","[10445, 10494, 11336, 11385, 14405, 14454, 83111, 83160]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'w')","[2525, 2574, 6980, 7029, 28463, 28512, 57371, 57420, 58856, 58905, 71627, 71676, 78458, 78507, 85289, 85338, 86180, 86229, 96377, 96426, 98060, 98109, 106376, 106425, 108257, 108306]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '%')","[5198, 5247, 13811, 13860, 14702, 14751]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'm')","[1535, 1584, 7475, 7524, 7574, 7623, 7970, 8019, 19157, 19206, 29651, 29700, 33710, 33759, 36284, 36333, 36383, 36432, 38858, 38907, 39551, 39600, 47075, 47124, 52916, 52965, 53609, 53658, 54698, 54747, 72518, 72567, 80834, 80883, 81527, 81576, 90437, 90486, 102713, 102762, 103406, 103455]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '4')","[40244, 40293, 82220, 82269, 104099, 104148]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$extractMutations$3', 'apply', '(?:^|[\\s\\(\\[\\\'""/,\\-])', ' ')","[116677, 116731, 117002, 117056, 117327, 117381, 117652, 117706]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'C')","[50, 99, 11633, 11682, 17474, 17523, 20939, 20988, 21137, 21186, 42818, 42867, 43709, 43758, 43907, 43956, 70439, 70488, 70637, 70686, 100634, 100683, 100931, 100980, 105287, 105336, 105485, 105534]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'h')","[18563, 18612, 18959, 19008, 22820, 22869, 25988, 26037, 28562, 28611, 28859, 28908, 29453, 29502, 32027, 32076, 32918, 32967, 35492, 35541, 38165, 38214, 39254, 39303, 43412, 43461, 50342, 50391, 53312, 53361, 59153, 59202, 67172, 67221, 68657, 68706, 70142, 70191, 71924, 71973, 72221, 72270, 74894, 74943, 77468, 77517, 80141, 80190, 81230, 81279, 85586, 85635, 86477, 86526, 87071, 87120, 92714, 92763, 98654, 98703, 102020, 102069, 103109, 103158, 104990, 105039, 108554, 108603, 108851, 108900, 111029, 111078, 113504, 113553]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'b')","[48263, 48312, 55391, 55440, 84596, 84645, 91625, 91674, 96971, 97020, 97763, 97812, 109940, 109989]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'v')","[743, 792, 46283, 46332, 46679, 46728, 62420, 62469, 78953, 79002, 97367, 97416]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '.')","[5000, 5049, 9158, 9207, 11039, 11088, 13613, 13662, 14504, 14553, 17177, 17226, 37868, 37917, 50045, 50094, 61925, 61974, 76874, 76923, 89051, 89100, 100040, 100089, 100436, 100485, 116573, 116622]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$extractMutations$3', 'apply', '(?:^|[\\s\\(\\[\\\'""/,\\-])', '(')","[117977, 118031, 118302, 118356, 118627, 118681, 118952, 119006]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '5')","[4901, 4950, 9356, 9405, 83210, 83259, 100238, 100287]"
