"('AntPathStringMatcher.java', 'org.springframework.util.AntPathStringMatcher', 'matchStrings', '\\Qlogin_error.jsp\\E', 'login_error.jsp')","[13233, 13325]"
"('UriComponentsBuilder.java', 'org.springframework.web.util.UriComponentsBuilder', 'fromUriString', '^(([^:/?#]+):)?(//(([^@/]*)@)?([^/?#:]*)(:(\\d*))?)?([^?#]*)(\\?([^#]*))?(#(.*))?', 'http://localhost:8080/uaa/login')","[10636, 10657]"
"('AntPathStringMatcher.java', 'org.springframework.util.AntPathStringMatcher', 'matchStrings', '\\Qlogout\\E', 'login_error.jsp')","[13187, 13279]"
"('SecurityNamespaceHandler.java', 'org.springframework.security.config.SecurityNamespaceHandler', 'matchesVersionInternal', '(?m).*spring-security-3\\.1.*.xsd.*', '')","[11024, 11062, 11332, 11370, 11640, 11678, 11948, 11986, 12256, 12294, 12564, 12602, 12872, 12910]"
"('SecurityNamespaceHandler.java', 'org.springframework.security.config.SecurityNamespaceHandler', 'matchesVersionInternal', '(?m).*spring-security.*', '')","[11178, 11216, 11486, 11524, 11794, 11832, 12102, 12140, 12410, 12448, 12718, 12756, 13026, 13064]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testRootContext(org.cloudfoundry.identity.app.BootstrapTests)')","[242, 266, 290, 469, 500, 531, 841, 872, 903, 1047, 1071, 1095, 1273, 1631, 1661, 1691, 1772, 1800, 1828, 2155, 2190, 2225, 2575, 2610, 2645, 2813, 2841, 2869, 3431, 3459, 3487, 3562, 3588, 3614, 3919, 3952, 3985, 4315, 4348, 4381, 4537, 4563, 4589, 5032, 5064, 5096, 5183, 5213, 5243, 5592, 5629, 5666, 6036, 6073, 6110, 6290, 6320, 6350, 7009, 7044, 7079, 7175, 7208, 7241, 7623, 7663, 7703, 8103, 8143, 8183, 8381, 8414, 8447, 8973, 9010, 9047, 9149, 9184, 9219, 9623, 9665, 9707, 10127, 10169, 10211, 10737, 10777, 10817, 10901, 10943, 10985]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testItems(org.cloudfoundry.identity.app.web.TreeControllerTests)')","[359, 383, 407, 717, 748, 779, 1143, 1167, 1191, 1314, 1888, 1918, 1948, 2029, 2057, 2085, 2435, 2470, 2505, 2925, 2953, 2981, 3670, 3698, 3726, 3801, 3827, 3853, 4183, 4216, 4249, 4641, 4667, 4693, 5307, 5339, 5371, 5458, 5488, 5518, 5888, 5925, 5962, 6410, 6440, 6470, 7311, 7346, 7381, 7477, 7510, 7543, 7943, 7983, 8023, 8513, 8546, 8579, 9293, 9330, 9367, 9469, 9504, 9539, 9959, 10001, 10043, 13405, 13445, 13485, 13569, 13611, 13653]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'org.cloudfoundry.identity.app.integration.AuthenticationIntegrationTests')","[56, 77, 1459, 3136, 3271, 4848, 6637, 6807, 8759]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'org.cloudfoundry.identity.app.BootstrapTests')","[194, 1716, 3510, 5123, 7109, 9079]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.cloudfoundry.identity.app.BootstrapTests')","[13756, 13776, 13797, 13817]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'org.cloudfoundry.identity.app.web.TreeControllerTests')","[13838, 13858, 13879, 13899]"
