"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'OpeningTime.class')","[178099, 209083]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ConfigurationConversionService.class')",[185491]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationStatusNotificationReceivedEventUnknownChargingStationNoException(io.motown.vas.viewmodel.VasEventHandlerTest)')","[3357, 11850, 15602, 18886, 26728, 36373, 42573, 46424, 53776, 62845, 69079, 77411, 87632, 94266, 98788, 107855, 118940, 126524, 136081, 148228, 154015]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'updateSubscribersVerifyExecutorServiceCalls(io.motown.vas.viewmodel.VasSubscriberServiceTest)')","[8120, 15069, 16375, 23445, 32099, 40120, 50679, 58843, 66328, 73942, 83086, 91643, 104107, 113986, 123347, 132147, 142516, 217025, 217355]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'componentStatusNotificationReceivedVerifySubscriptionServiceCall(io.motown.vas.viewmodel.VasEventHandlerTest)')","[2333, 11050, 15434, 17894, 25576, 35445, 41645, 45496, 52688, 61981, 68023, 76195, 86640, 93274, 97636, 106543, 117852, 125308, 134705, 146884, 152575]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ChargingStation.class')","[176591, 207433]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'wait')","[187807, 187847, 187887, 189067, 189107, 189147, 190327, 190367, 190407, 191587, 191627, 191667, 192847, 192887, 192927, 194107, 194147, 194187, 195367, 195407, 195447, 196627, 196667, 196707, 197887, 197927, 197967, 199147, 199187, 199227, 200407, 200447, 200487, 201667, 201707, 201747, 202905, 202944, 202983, 204155, 204195, 204235, 205393, 205432, 205471, 209921, 209960, 209999]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\QRepoReaper\\E', 'RepoReaper')","[156478, 157206, 157934, 158609, 159350, 160088, 160816, 161491, 162232, 162970, 163698, 164426, 165101, 165842, 166580, 167308, 167983, 168724, 169465, 170206, 170947, 171688, 172429, 173167, 173895, 174570, 175257, 176011, 176765, 177519, 178270, 179011, 179698, 180452, 181206, 181960, 182714, 183465, 184203, 184931, 185659, 186387, 205948, 206773, 207598, 208423]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationStatusNotificationVerifySubscriberServiceCall(io.motown.vas.viewmodel.VasEventHandlerTest)')","[3613, 12050, 15644, 19134, 27016, 36605, 42805, 46656, 54048, 63061, 69343, 77715, 87880, 94514, 99076, 108183, 119212, 126828, 136425, 148564, 154375]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'io.motown.vas.viewmodel.vas.SubscriptionUpdaterTest')","[212397, 212420, 212444, 212467]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'runUpdaterVerifyClientCall(io.motown.vas.viewmodel.vas.SubscriptionUpdaterTest)')","[218, 672, 5640, 13149, 15875, 20634, 20777, 23707, 29299, 37880, 48058, 48191, 50923, 56203, 64248, 70941, 71094, 74222, 80126, 89243, 100821, 100989, 104414, 110786, 120707, 128671, 128849, 132472, 139156, 210351, 210513]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qpersistence\\E', 'persistence')","[206498, 207323, 208148, 208973]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationMovedEventUnknownChargingStationNoExceptionThrown(io.motown.vas.viewmodel.VasEventHandlerTest)')","[1725, 1757, 1789, 10575, 10600, 10625, 17305, 17336, 17367, 24892, 24928, 24964, 34894, 34923, 34952, 41094, 41123, 41152, 44945, 44974, 45003, 52042, 52076, 52110, 61468, 61495, 61522, 67396, 67429, 67462, 75473, 75511, 75549, 86051, 86082, 86113, 92685, 92716, 92747, 96952, 96988, 97024, 105764, 105805, 105846, 117206, 117240, 117274, 124586, 124624, 124662, 133888, 133931, 133974, 146086, 146128, 146170, 151720, 151765, 151810]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationLocationImprovedEventAddressAndCoordinates(io.motown.vas.viewmodel.VasEventHandlerTest)')","[1085, 1117, 1149, 10075, 10100, 10125, 16685, 16716, 16747, 24172, 24208, 24244, 34314, 34343, 34372, 40514, 40543, 40572, 44365, 44394, 44423, 51362, 51396, 51430, 60928, 60955, 60982, 66736, 66769, 66802, 74713, 74751, 74789, 85431, 85462, 85493, 92065, 92096, 92127, 96232, 96268, 96304, 104944, 104985, 105026, 116526, 116560, 116594, 123826, 123864, 123902, 133028, 133071, 133114, 145246, 145288, 145330, 150820, 150865, 150910]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'fromConnector480Volt3Phase63Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[7128, 9608, 14781, 16292, 22948, 30979, 33779, 39784, 50216, 57787, 60427, 66016, 73411, 81902, 84862, 91283, 103525, 112706, 115906, 122951, 131531, 141172, 144532, 214267, 216437]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'fromConnector120Volt1Phase16Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[452, 5764, 8244, 13725, 16041, 21628, 23211, 29439, 32239, 38552, 48984, 50461, 56335, 58975, 64872, 72003, 73692, 80274, 83234, 89963, 101985, 103833, 110946, 114146, 121499, 129903, 131857, 139324, 142684, 212507, 214589]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'newSingleThreadScheduledExecutor')","[187220, 187259, 188480, 188519, 189740, 189779, 191000, 191039, 192260, 192299, 193520, 193559, 194780, 194819, 196040, 196079, 197300, 197339, 198560, 198599, 199820, 199859, 201080, 201119, 202333, 202371, 203568, 203607, 204821, 204859, 209349, 209387]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'componentStatusNotificationAvailableReceivedEventVerifyEvseState(io.motown.vas.viewmodel.VasEventHandlerTest)')","[4029, 4061, 4093, 12375, 12400, 12425, 19537, 19568, 19599, 27484, 27520, 27556, 36982, 37011, 37040, 43182, 43211, 43240, 47033, 47062, 47091, 54490, 54524, 54558, 63412, 63439, 63466, 69772, 69805, 69838, 78209, 78247, 78285, 88283, 88314, 88345, 94917, 94948, 94979, 99544, 99580, 99616, 108716, 108757, 108798, 119654, 119688, 119722, 127322, 127360, 127398, 136984, 137027, 137070, 149110, 149152, 149194, 154960, 155005, 155050]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ChargingCapability.class')",[168553]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationMovedEventCoordinatesEmptyAddress(io.motown.vas.viewmodel.VasEventHandlerTest)')","[1309, 10250, 15266, 16902, 24424, 34517, 40717, 44568, 51600, 61117, 66967, 74979, 85648, 92282, 96484, 105231, 116764, 124092, 133329, 145540, 151135]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'updateSubscribersVerifyExecutorServiceCalls(io.motown.vas.viewmodel.VasSubscriberServiceTest)')","[8151, 8182, 8213, 15093, 15117, 15141, 23475, 23505, 23535, 32134, 32169, 32204, 40148, 40176, 40204, 50707, 50735, 50763, 58876, 58909, 58942, 66354, 66380, 66406, 73974, 74006, 74038, 83123, 83160, 83197, 91673, 91703, 91733, 104142, 104177, 104212, 114026, 114066, 114106, 123380, 123413, 123446, 132184, 132221, 132258, 142558, 142600, 142642, 217065, 217105, 217145, 217397, 217439, 217481]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationStatusNotificationReceivedEventUnknownChargingStationNoException(io.motown.vas.viewmodel.VasEventHandlerTest)')","[3389, 3421, 3453, 11875, 11900, 11925, 18917, 18948, 18979, 26764, 26800, 26836, 36402, 36431, 36460, 42602, 42631, 42660, 46453, 46482, 46511, 53810, 53844, 53878, 62872, 62899, 62926, 69112, 69145, 69178, 77449, 77487, 77525, 87663, 87694, 87725, 94297, 94328, 94359, 98824, 98860, 98896, 107896, 107937, 107978, 118974, 119008, 119042, 126562, 126600, 126638, 136124, 136167, 136210, 148270, 148312, 148354, 154060, 154105, 154150]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'newChargingStationStateNotNull(io.motown.vas.viewmodel.model.ChargingStationTest)')","[5268, 7624, 13437, 15978, 21131, 28879, 31539, 38216, 48521, 55807, 58315, 64560, 71472, 79682, 82494, 89603, 101403, 110306, 113346, 121103, 129287, 138652, 141844, 211093, 211911]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'newSingleThreadExecutor')","[187142, 187181, 188402, 188441, 189662, 189701, 190922, 190961, 192182, 192221, 193442, 193481, 194702, 194741, 195962, 196001, 197222, 197261, 198482, 198521, 199742, 199781, 201002, 201041, 202257, 202295, 203490, 203529, 204745, 204783, 209273, 209311]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'repostories')",[184035]
