"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 408:             1             24  java.util.concurrent.TimeUnit$6')","[26213, 39815]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 222:             1            104  java.io.ObjectStreamClass')",[34979]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  61:            28           2240  [Ljava.util.WeakHashMap$Entry;')",[30793]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 124:            19            456  javassist.bytecode.SignatureAttribute')",[4559]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 433:             1             16  java.security.ProtectionDomain$3')",[12902]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 492:             1             16  org.junit.internal.runners.rules.RuleMemberValidator$FieldMustBeATestRule')","[28481, 41999]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 194:             2            160  sun.net.www.protocol.jar.URLJarFile')",[6449]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 331:             1             40  sun.nio.cs.StandardCharsets$Aliases')","[10148, 24134]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 118:            22            528  java.lang.invoke.LambdaForm$NamedFunction')",[4397]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 221:             7            112  org.apache.maven.surefire.util.RunOrder')",[21164]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 274:             1             64  org.apache.maven.surefire.junitcore.JUnitCoreProvider')","[22595, 36331]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  60:            11           2288  <klassKlass>')",[30767]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 448:             1             16  java.lang.Terminator$1')",[13307]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 383:             1             24  sun.nio.cs.US_ASCII')","[25538, 39165]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  57:           129           3096  java.util.jar.Attributes$Name')",[2750]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 212:             5            120  java.util.regex.Pattern$1')",[20921]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 485:             1             16  java.util.Collections$SingletonSet')","[28292, 41817]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 213:             3            120  sun.misc.URLClassPath')",[34745]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 144:            11            352  java.security.AccessControlContext')",[5099]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 272:             2             64  [Ljava.lang.annotation.RetentionPolicy;')","[22541, 36279]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  70:            28           1792  javassist.CtClassType')",[17087]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 127:            19            456  java.util.Locale$LocaleKey')","[18626, 32509]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 437:             1             16  java.util.jar.JavaUtilJarAccessImpl')","[26996, 40569]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 509:             1             16  sun.net.www.protocol.file.Handler')",[14954]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', 'Total         75347        8913432')",[42623]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 297:             2             48  sun.misc.NativeSignalHandler')","[9230, 23216, 36929]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 476:             1             16  sun.misc.Launcher')",[14063]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 210:             3            120  [Ljava.lang.annotation.ElementType;')",[34667]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 376:             2             32  java.nio.ByteOrder')","[11363, 25349, 38983]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 332:             1             40  sun.nio.cs.StandardCharsets$Aliases')",[37839]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 381:             1             24  org.apache.maven.surefire.report.ReporterConfiguration')",[11498]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 507:             1             16  org.junit.runner.manipulation.Filter$1')",[14900]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 229:             4             96  sun.jvmstat.monitor.Variability')",[35161]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 184:             4            192  java.nio.HeapByteBuffer')",[33991]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 198:             6            144  sun.misc.PerfCounter')",[34355]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 314:             2             48  java.net.InetAddress$CacheEntry')","[9689, 23675]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 466:             1             16  org.junit.validator.AnnotationValidatorFactory')","[27779, 41323]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 312:             2             48  java.nio.charset.CoderResult')","[9635, 23621, 37319]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 228:             1             96  [Ljava.lang.invoke.MethodType;')",[21353]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 207:             8            128  java.util.Collections$UnmodifiableCollection')",[6800]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 218:             5            120  java.lang.ThreadLocal$ThreadLocalMap')",[7097]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 213:             5            120  java.util.regex.Pattern$1')",[6962]
