"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '-----------------------------------------------------')","[51784, 102134, 197209]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', '>                 Key: COCOON-2301')","[34882, 163509]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-996')","[149734, 190534]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-1232')","[148334, 189134]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '                 Key: COCOON-2301')",[156534]
"('ARFFIterator.java', 'org.apache.mahout.utils.vectors.arff.ARFFIterator', 'computeNext', '([\\w[^{]])*', '?')",[6881]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '            https://issues.apache.org/jira/browse/COCOON-2295')","[129934, 170734]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-1842 LDAPTransformer: ClassCastException with Binary fields')","[22899, 43384, 74034, 93734, 139609, 180409]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Received: (qmail 29044 invoked by uid 500); 1 Sep 2010 21:03:15 -0000')",[117984]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', 'Message-ID: <7103927.76251283956837977.JavaMail.jira@thor>')",[127434]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', '            https://issues.apache.org/jira/browse/COCOON-1345')","[26107, 46559, 77209, 96909, 145959, 186759]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'COCOON-867  [PATCH] wsinclude and htmlinclude transformers')","[150384, 191184]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '            https://issues.apache.org/jira/browse/COCOON-1232')","[148284, 189084]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'This message is automatically generated by JIRA.')","[11441, 15141, 32007, 35557, 60409, 63459, 66309, 83109, 85959, 110759, 116759, 124159, 157759, 164859, 214459]"
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '> jboss-5.1.0.GA vfszip protocol in CharsetFactory')",[122184]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'Message-ID: <27933486.264201284768878915.JavaMail.jira@thor>')",[195884]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^From \\S+@\\S.*\\d{4}$', 'from the specified remote repositories:')","[59909, 110259, 213459]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.utils.vectors.lucene.CachedTermInfoTest')",[197]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', ' jars in rev 959219')",[196384]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^to: (.*)$', '>                 Key: COCOON-2301')",[163534]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', 'From dev-return-102527-apmail-cocoon-dev-archive=cocoon.apache.org@cocoon.apache.org Wed Sep 01 21:01:35 2010')",[110884]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.utils.vectors.arff.DriverTest')",[5456]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^subject: (.*)$', 'COCOON-996  [PATCH] LuceneIndexContentHandler.java produces CLOBs')","[27932, 48384, 79034, 98734, 149609, 190409]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.apache.mahout.utils.regex.RegexMapperTest')",[214804]
"('MailProcessor.java', 'org.apache.mahout.utils.email.MailProcessor', 'parseMboxLineByLine', '^from: (\\S.*)$', '  \t2) daisy:daisy-repository-api:jar:1.5-dev')",[201284]
