"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'create index xyz')","[932, 972]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'create unique index xyz')","[1013, 1053]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'create table abc')","[689, 729]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'alter table xxx add column abc varchar')","[284, 324]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'comment on column xxx.abc Blah 123 blah:/\\*`^')","[365, 405]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'alter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def')","[1094, 1134]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'deveProcessarExcludes(ddl.valentrim.GrepDDLTest)')","[57, 120]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'create index xyz')","[1418, 1458]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'comment on column xxx.abc Blah 123 blah:/\\*`^')","[851, 891]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'alter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def')","[1580, 1620]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'create unique index xyz')","[1499, 1539]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'deveExcluirLinhasDeCriacaoDeIndex(ddl.valentrim.GrepDDLTest)')","[78, 141]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'create unique index xyz')","[527, 567]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'alter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def')","[608, 648]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^create (unique )?index [\\w\\W]*$', 'alter table xxx add column abc varchar')","[770, 810]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'create index xyz')","[446, 486]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'comment on column xxx.abc Blah 123 blah:/\\*`^')","[1337, 1377]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'alter table xxx add column abc varchar')","[1256, 1296]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^comment on [\\w\\W]*$', 'create table abc')","[1175, 1215]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'deveExcluirLinhasDeComentario(ddl.valentrim.GrepDDLTest)')","[99, 162]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'ddl.valentrim.GrepDDLTest')","[36, 1642]"
"('GrepDDL.java', 'marcos2250.powernate.valentrim.GrepDDL$2', 'apply', '^.*\\Qalter table xxx.abc add constraint IRdefabc foreign key (ID1, ID2) references xxx.def\\E.*$', 'create table abc')","[203, 243]"
