page,row,file,class,method,regex,input,count
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooTaglibTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooConversationsBadgeTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testDynamicAttributes(com.reevoo.taglib.ReevooProductReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTheCssLinkIsLoadedCorrectly(com.reevoo.taglib.ReevooCssAssetsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),theSingletrkrefMarkLoaderScriptIsLoadedCorrectly(com.reevoo.utils.TaglibConfigTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooCustomerExperienceReviewsTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooCustomerServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooConversationsBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooConversationsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagOutputsAllSkus(com.reevoo.taglib.ReevooPurchaseTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooConversationsTest,4
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooPropensityToBuyTrackingEventTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagRespondsWithContentFromClient(com.reevoo.taglib.ReevooConversationsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTheCssLinkIsLoadedCorrectly(com.reevoo.taglib.ReevooCssAssetsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testThatIfVariantNamePresentItPrintsTheRightAnchorClass(com.reevoo.taglib.ReevooDeliveryRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooTaglibTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),weCanAccessTheValueOfExistingPropertiesIn(com.reevoo.utils.TaglibConfigTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooCustomerServiceRatingBadgeTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooConversationsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagOutputsGlobalCTAWhenNoSkuProvided(com.reevoo.taglib.ReevooPropensityToBuyTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testThatIfVariantNamePresentItPrintsTheRightAnchorClass(com.reevoo.taglib.ReevooConversationsBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooOverallServiceRatingBadgeTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagRespondsWithContentFromClient(com.reevoo.taglib.ReevooProductReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagCallsClientWithCorrectAttributesAndEndpointWhenUsingLocale(com.reevoo.taglib.ReevooProductReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooCssAssetsTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testThatIfVariantNamePresentItPrintsTheRightAnchorClass(com.reevoo.taglib.ReevooCustomerServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),weCanAccessTheValueOfExistingPropertiesIn(com.reevoo.utils.TaglibConfigTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagOutputsCorrectTrkref(com.reevoo.taglib.ReevooPropensityToBuyTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooProductBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagOutputsSkuWhenSkuProvided(com.reevoo.taglib.ReevooPropensityToBuyTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testIfTrkrefNotSpecifyItWillUseTheOneDefinedInTheConfigurationFile(com.reevoo.taglib.ReevooJavascriptAssetsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagIncludesJsCustomisedForTheRetailer(com.reevoo.taglib.ReevooJavascriptAssetsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooTaglibTest,4
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),theMultitrkrefMarkLoaderScriptIsLoadedCorrectly(com.reevoo.utils.TaglibConfigTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagCallsClientWithCorrectAttributesAndEndpointWhenUsingLocaleAndNumberOfReviews(com.reevoo.taglib.ReevooProductReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testIfTrkrefNotSpecifyItWillUseTheOneDefinedInTheConfigurationFile(com.reevoo.taglib.ReevooOverallServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagRespondsWithContentFromClient(com.reevoo.taglib.ReevooCustomerExperienceReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooCustomerServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooDeliveryRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooJavascriptAssetsTest,4
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooProductReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTagReturnsTagBodyWhenNoResponseFromClient(com.reevoo.taglib.ReevooCustomerExperienceReviewsTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooProductBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testTagOutputsTheTrackingEventScript(com.reevoo.taglib.ReevooPurchaseTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),ifTheCustomerProvidesTheirOwnPropertiesFileWeGivePreferenceToTheCustomerValues(com.reevoo.utils.TaglibConfigTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testThatIfUndecoratedItPrintsTheRightAnchorClass(com.reevoo.taglib.ReevooProductBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagCallsClientWithCorrectAttributes(com.reevoo.taglib.ReevooTaglibTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooConversationsBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagRespondsWithContentFromClient(com.reevoo.taglib.ReevooTaglibTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),testFormatsTheCorrectAnchor(com.reevoo.taglib.ReevooOverallServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testTagOutputsCorrectActionValue(com.reevoo.taglib.ReevooPropensityToBuyTrackingEventTest),1
3300,128,Description.java,org.junit.runner.Description,parseMethod,(.*)\((.*)\),testThatTheTagBodyGoesAsTheAnchorBody(com.reevoo.taglib.ReevooCustomerServiceRatingBadgeTest),1
3300,128,Description.java,org.junit.runner.Description,getClassName,(.*)\((.*)\),com.reevoo.taglib.ReevooDeliveryRatingBadgeTest,4
