"","stack_index","regex_index","page","row","c_node","t_node","c_edge","t_edge","c_epair","t_epair","type","count"
"1",0,2809,1,4,20,46,22,342,24,1320,0,11
"2",0,2809,1,4,0,46,0,342,0,1320,1,0
"3",0,2809,1,4,20,46,22,342,24,1320,2,11
"4",1,2829,1,4,16,42,18,302,19,1156,0,11
"5",1,2829,1,4,0,42,0,302,0,1156,1,0
"6",1,2829,1,4,16,42,18,302,19,1156,2,11
"7",2,2833,1,4,17,43,19,312,20,1197,0,11
"8",2,2833,1,4,0,43,0,312,0,1197,1,0
"9",2,2833,1,4,17,43,19,312,20,1197,2,11
"10",3,2860,1,4,32,58,34,462,35,1812,0,11
"11",3,2860,1,4,0,58,0,462,0,1812,1,0
"12",3,2860,1,4,32,58,34,462,35,1812,2,11
"13",4,2861,1,4,26,52,28,402,29,1566,0,11
"14",4,2861,1,4,0,52,0,402,0,1566,1,0
"15",4,2861,1,4,26,52,28,402,29,1566,2,11
"16",5,2882,1,4,27,53,29,412,30,1607,0,11
"17",5,2882,1,4,0,53,0,412,0,1607,1,0
"18",5,2882,1,4,27,53,29,412,30,1607,2,11
"19",6,2883,1,4,23,49,25,372,26,1443,0,11
"20",6,2883,1,4,0,49,0,372,0,1443,1,0
"21",6,2883,1,4,23,49,25,372,26,1443,2,11
"22",7,2884,1,4,24,50,26,382,27,1484,0,11
"23",7,2884,1,4,0,50,0,382,0,1484,1,0
"24",7,2884,1,4,24,50,26,382,27,1484,2,11
"25",8,6511,1,4,5,6,4,8,3,6,0,1
"26",8,6511,1,4,5,6,4,8,3,6,1,1
"27",8,6511,1,4,0,6,0,8,0,6,2,0
"28",9,6734,1,4,2,11,1,18,0,16,0,1
"29",9,6734,1,4,0,11,0,18,0,16,1,0
"30",9,6734,1,4,2,11,1,18,0,16,2,1
"31",10,6980,1,4,11,12,10,20,9,18,0,1
"32",10,6980,1,4,11,12,10,20,9,18,1,1
"33",10,6980,1,4,0,12,0,20,0,18,2,0
"34",11,7296,1,4,14,15,13,26,12,24,0,1
"35",11,7296,1,4,14,15,13,26,12,24,1,1
"36",11,7296,1,4,0,15,0,26,0,24,2,0
"37",12,7297,1,4,20,21,19,38,18,36,0,1
"38",12,7297,1,4,20,21,19,38,18,36,1,1
"39",12,7297,1,4,0,21,0,38,0,36,2,0
"40",13,13771,1,4,4,10,3,16,2,14,0,1
"41",13,13771,1,4,0,10,0,16,0,14,1,0
"42",13,13771,1,4,4,10,3,16,2,14,2,1
"43",14,13781,1,4,5,6,4,8,3,6,0,1
"44",14,13781,1,4,5,6,4,8,3,6,1,1
"45",14,13781,1,4,0,6,0,8,0,6,2,0
"46",15,2193,10,282,12,41,13,235,14,920,0,2
"47",15,2193,10,282,0,41,0,235,0,920,1,0
"48",15,2193,10,282,12,41,13,235,14,920,2,2
"49",16,3016,10,282,17,81,20,606,23,2677,0,2
"50",16,3016,10,282,0,81,0,606,0,2677,1,0
"51",16,3016,10,282,17,81,20,606,23,2677,2,2
"52",17,5124,10,282,4,6,5,10,6,12,0,881
"53",17,5124,10,282,4,6,5,10,6,12,1,881
"54",17,5124,10,282,0,6,0,10,0,12,2,0
"55",18,5506,10,282,5,22,7,80,8,200,0,9
"56",18,5506,10,282,5,22,7,80,8,200,1,8
"57",18,5506,10,282,0,22,0,80,0,200,2,1
"58",19,2193,10,282,12,41,16,235,18,920,0,5
"59",19,2193,10,282,0,41,0,235,0,920,1,0
"60",19,2193,10,282,12,41,16,235,18,920,2,5
"61",20,3016,10,282,18,81,22,606,26,2677,0,4
"62",20,3016,10,282,0,81,0,606,0,2677,1,0
"63",20,3016,10,282,18,81,22,606,26,2677,2,4
"64",21,1382,12,470,20,20,28,44,42,65,0,27
"65",21,1382,12,470,19,20,27,44,41,65,1,25
"66",21,1382,12,470,17,20,16,44,15,65,2,2
"67",22,5981,14,453,3,4,3,5,3,5,0,1458
